token,loss
pineapple</w>,-0.0004234614316374
ðŁĴĻ,-0.0012389941839501
âĸ«,-0.0016846534563228
strawberries</w>,-0.0028783339075744
applau,-0.0033756780903786
walled</w>,-0.0057165389880537
pheno,-0.0109645016491413
saf,-0.0113137792795896
mbo,-0.0134228263050317
orangu,-0.0244153793901205
pland</w>,-0.0287392511963844
mandarin</w>,-0.0333108678460121
âģ¦,-0.0361756570637226
aberdeen,-0.0397315360605716
que,-0.0429516099393367
terraces</w>,-0.0433015376329422
montal,-0.0465204082429409
nugget</w>,-0.0483459085226058
stret,-0.0542020983994007
loads</w>,-0.0560574494302272
sprout</w>,-0.0606375373899936
tang,-0.0739570334553718
tists</w>,-0.0777560546994209
miam,-0.0845701768994331
takeaways</w>,-0.0962686464190483
aggreg,-0.1085760816931724
stanford</w>,-0.109404869377613
ìĨĮëħ,-0.1105228215456008
ghouse</w>,-0.1154347658157348
quiero</w>,-0.1180905252695083
shing,-0.1219472289085388
provo,-0.1222236156463623
massi,-0.1223068684339523
rona</w>,-0.1242622584104538
perth</w>,-0.1265690624713897
sph,-0.1281486600637436
snack,-0.1287207901477813
granola</w>,-0.1335730850696563
ounce</w>,-0.1385252922773361
trail</w>,-0.1392324715852737
baked</w>,-0.1435465216636657
miti,-0.1513465642929077
redd,-0.1571676284074783
aloo</w>,-0.1664115041494369
à¸±</w>,-0.1751819849014282
sagitt,-0.1866947561502456
mpgvip</w>,-0.1882951855659485
spears</w>,-0.1916698962450027
quaint</w>,-0.1933622658252716
truffle</w>,-0.2050551623106002
scran,-0.2117249518632888
nuggets</w>,-0.212253600358963
roof,-0.2142893970012664
sii</w>,-0.2213265746831894
twee,-0.2259757816791534
twine</w>,-0.2261403948068618
thorns</w>,-0.2384333163499832
vacay</w>,-0.2391035258769989
apples</w>,-0.2400680929422378
tangerine</w>,-0.2415890395641327
revo,-0.2497074455022812
tang</w>,-0.2512132525444031
sardinia</w>,-0.2519063651561737
paramount</w>,-0.2538373470306396
strawberry</w>,-0.2571034133434295
winelover</w>,-0.2590679228305816
westlake</w>,-0.2623857855796814
umen</w>,-0.2745117545127868
wellness,-0.2776831388473511
methyl,-0.27934730052948
sland</w>,-0.2880597114562988
northampton</w>,-0.2986784875392914
tione,-0.309602677822113
vegetarian</w>,-0.3131236433982849
everywhere</w>,-0.3169329166412353
overlook</w>,-0.3196643590927124
preten,-0.321593701839447
then,-0.3264576196670532
kush</w>,-0.3305259943008423
muffins</w>,-0.3317142426967621
resto</w>,-0.3338331878185272
missal</w>,-0.3377004563808441
strade</w>,-0.3378395140171051
wetlands</w>,-0.3378917276859283
stravel</w>,-0.3430136442184448
papaya</w>,-0.3459964394569397
wasabi</w>,-0.3479074239730835
wester,-0.3486576676368713
ðŁ¦ĭ</w>,-0.3506529629230499
spread</w>,-0.3530255556106567
superfood</w>,-0.355059951543808
noms</w>,-0.3556442558765411
norfolk,-0.3601994514465332
upd,-0.3625357449054718
simba</w>,-0.3684336543083191
sofia</w>,-0.368884265422821
Ħëĭ,-0.3776209354400635
sage,-0.3793428242206573
yam</w>,-0.3803099393844604
pollen</w>,-0.3818869888782501
sate</w>,-0.3830450475215912
peanut</w>,-0.3854825496673584
westchester</w>,-0.3874579966068268
ogue</w>,-0.392029196023941
pistor,-0.3946686685085296
troubad,-0.4040469229221344
gnocchi</w>,-0.4072664678096771
taste</w>,-0.4082875251770019
reef,-0.4126376807689667
nex</w>,-0.4171626567840576
plano</w>,-0.4191195666790008
F</w>,-0.4212207496166229
nutrient</w>,-0.4278188645839691
uy,-0.4373375177383423
meatballs</w>,-0.4380781352519989
ìĦ¸ë,-0.4387817084789276
mckin,-0.4427295625209808
shealth,-0.4551683366298675
islands</w>,-0.4624621570110321
poche</w>,-0.4629151821136474
subsi,-0.4657644927501678
waterfall</w>,-0.4667916893959045
foodsecurity</w>,-0.4696415662765503
bena</w>,-0.4698747098445892
biryani</w>,-0.4729330241680145
usda</w>,-0.4741173684597015
ges</w>,-0.4753310084342956
eats</w>,-0.4753676056861877
itss,-0.481144368648529
rosenberg</w>,-0.4823123216629028
mound</w>,-0.4858851134777069
bake,-0.492972195148468
quat,-0.4957955479621887
pooh</w>,-0.4963251948356628
kern</w>,-0.497065007686615
crumbs</w>,-0.4986254274845123
tree,-0.5049614310264587
yogur,-0.5082350373268127
aro,-0.5115042328834534
citi,-0.5121992230415344
maine</w>,-0.5196974277496338
mornings</w>,-0.524399995803833
à¸£,-0.5247119665145874
nutrition</w>,-0.5263551473617554
mor</w>,-0.5303612351417542
mentor,-0.535636305809021
mmj</w>,-0.5398252606391907
deliber,-0.5407267212867737
positi,-0.54548180103302
yelled</w>,-0.5494139194488525
miniature</w>,-0.5542563796043396
nutritious</w>,-0.5542943477630615
avo</w>,-0.5558322668075562
bachelor</w>,-0.5586262345314026
most,-0.5587698221206665
truffles</w>,-0.5611334443092346
starter</w>,-0.5649839639663696
nasi</w>,-0.5681904554367065
sirloin</w>,-0.5692669749259949
azores</w>,-0.5706598162651062
meatball</w>,-0.5733444094657898
ynes</w>,-0.5750541687011719
opini,-0.575512170791626
etched</w>,-0.5799204707145691
chorizo</w>,-0.5825816988945007
biodiversity</w>,-0.5832399129867554
rampage</w>,-0.5856390595436096
à¸Ķ</w>,-0.5862599015235901
msp</w>,-0.5877501368522644
megan</w>,-0.5888702869415283
descending</w>,-0.5896657109260559
tastes</w>,-0.5928241610527039
stuffing</w>,-0.5938229560852051
Ñĥ,-0.596619725227356
nutriti,-0.5985860228538513
montess,-0.600036084651947
zimbab,-0.6006829738616943
planting</w>,-0.6124629974365234
prasad</w>,-0.6148994565010071
reflection</w>,-0.618108332157135
basil</w>,-0.6196430921554565
sensi,-0.6199872493743896
sie</w>,-0.62562096118927
din,-0.6298695802688599
glutenfree</w>,-0.631696879863739
puree</w>,-0.6399186253547668
parfait</w>,-0.6402889490127563
sprouts</w>,-0.6444692611694336
market,-0.6455806493759155
berry,-0.6460601091384888
looooo,-0.6550343036651611
unle,-0.6554757356643677
produc,-0.6555275917053223
potatoes</w>,-0.6574222445487976
cait,-0.6576476097106934
raja</w>,-0.6593183875083923
yee,-0.6630345582962036
natal</w>,-0.6640336513519287
pear</w>,-0.666847288608551
seasoning</w>,-0.6701271533966064
ration,-0.6724304556846619
pizzas</w>,-0.6730273365974426
york,-0.6756780743598938
bake</w>,-0.6779977679252625
plum</w>,-0.6780388355255127
ragh,-0.6805502772331238
orang,-0.6865573525428772
escorted</w>,-0.693185567855835
toe</w>,-0.6949871182441711
rockefeller</w>,-0.7011597156524658
recipe,-0.7028430104255676
colli,-0.7076449990272522
regiment</w>,-0.7110792398452759
onion</w>,-0.7122380137443542
poppin</w>,-0.7126725316047668
saltlife</w>,-0.7145266532897949
gardens</w>,-0.7158573269844055
zay,-0.7205908298492432
rajas,-0.7221586108207703
rhodes</w>,-0.7246305346488953
tapas</w>,-0.7283412218093872
wholefoods</w>,-0.7320165634155273
radi,-0.7329654097557068
loughborough</w>,-0.7401653528213501
difference</w>,-0.7429825067520142
newin,-0.7433239221572876
lakes</w>,-0.7494556903839111
hermi,-0.7511134743690491
stuffed</w>,-0.7516566514968872
saltwater</w>,-0.7556606531143188
nut,-0.7565496563911438
tasty</w>,-0.7617402672767639
paleo</w>,-0.761940062046051
sc,-0.7670100927352905
se,-0.7673171758651733
melrose</w>,-0.7707691788673401
nir</w>,-0.7709945440292358
std</w>,-0.7794439792633057
solidi,-0.7802572250366211
scafe</w>,-0.7834827899932861
contin,-0.784757673740387
olives</w>,-0.7856945991516113
veg</w>,-0.791640043258667
peakdistrict</w>,-0.801190972328186
âĨ,-0.8041642904281616
waa</w>,-0.8048138618469238
pond</w>,-0.8107541799545288
nutrition,-0.8173007965087891
onda</w>,-0.8208398818969727
