token,loss
shorth,-0.0018712494056671
verage</w>,-0.0756299346685409
transgender</w>,-0.1153750941157341
mariska</w>,-0.1341869831085205
performs</w>,-0.1367419064044952
stoked</w>,-0.1426581591367721
âļ½,-0.1533722728490829
âĿĦ</w>,-0.1619748175144195
winni,-0.1708132177591323
pregnancy</w>,-0.1770308315753936
mormon</w>,-0.1870484203100204
caitlyn</w>,-0.194927841424942
olympic</w>,-0.2066708207130432
swimmers</w>,-0.2152436822652816
divas</w>,-0.2198568284511566
tight,-0.2211759090423584
popular</w>,-0.2365377098321914
welterweight</w>,-0.2422764003276825
recruited</w>,-0.2445806562900543
pose</w>,-0.2583959400653839
elisa,-0.2688027918338775
standout</w>,-0.2735756337642669
lyte</w>,-0.2764884233474731
joy,-0.2798202037811279
rei,-0.286717414855957
ramirez</w>,-0.2893025577068329
noff</w>,-0.2900369167327881
skin,-0.2967536747455597
dong,-0.2995003461837768
bombshell</w>,-0.3005925416946411
w</w>,-0.3066704571247101
maria,-0.3170948028564453
melissa,-0.3200369477272033
li,-0.3286747336387634
clubbing</w>,-0.33179971575737
robbie</w>,-0.3335772156715393
mep</w>,-0.344313234090805
terry</w>,-0.3475807607173919
fitfam</w>,-0.349020779132843
snu,-0.3546935319900512
ry,-0.3566829562187195
shakira</w>,-0.3643490672111511
transformationtuesday</w>,-0.3646118342876434
stunning</w>,-0.3650490343570709
siri,-0.3717208504676819
âĺĳï¸ı</w>,-0.3766888976097107
masc,-0.3786338865756988
onepiece</w>,-0.3808399140834808
gal,-0.3833191692829132
thighs</w>,-0.3882836997509002
sigma</w>,-0.3883292078971863
tene,-0.3909228146076202
asians</w>,-0.3940910100936889
minogue</w>,-0.3982908427715301
vampi,-0.4014827907085418
tia</w>,-0.4035066664218902
standing,-0.409397155046463
thumbnail</w>,-0.4105895757675171
shimmer</w>,-0.4117534160614013
white,-0.4142192006111145
rupaul</w>,-0.4142284989356994
diva</w>,-0.4195121824741363
cana</w>,-0.4200585484504699
indira</w>,-0.4202674031257629
tamil</w>,-0.4229484796524048
pinup</w>,-0.4235893785953522
mai,-0.4256503283977508
nino</w>,-0.4269326627254486
springbreak</w>,-0.4286308884620666
marginal</w>,-0.4304471015930176
modeled</w>,-0.4311849474906921
prostitu,-0.431600421667099
other</w>,-0.4338933825492859
wilder,-0.4358257353305816
marina</w>,-0.440972626209259
brief,-0.4417815804481506
lia</w>,-0.4428795576095581
ðŁĩ·ðŁĩº</w>,-0.4524053335189819
physio,-0.4531604051589966
deriv,-0.4575036168098449
gou,-0.4606122076511383
ouses</w>,-0.4606896042823791
nips</w>,-0.4700250029563904
real</w>,-0.4708831906318664
thic,-0.4726979732513428
nell</w>,-0.474773645401001
ðŁķº,-0.4783400297164917
thickness</w>,-0.478374719619751
whipped</w>,-0.4803943932056427
msn</w>,-0.4812658131122589
vara</w>,-0.4825178980827331
wet</w>,-0.4843602776527405
po,-0.4869848787784576
swa,-0.4871379733085632
adriana</w>,-0.4920589327812195
mya</w>,-0.4929544329643249
womancrushwednesday</w>,-0.496494710445404
seme,-0.4985959827899933
selenagomez</w>,-0.5040526390075684
lum,-0.5048147439956665
serena</w>,-0.518481433391571
âļ¾ï¸ı</w>,-0.5185086727142334
stitutes</w>,-0.519679605960846
manne,-0.520735502243042
ally,-0.5216444134712219
physio</w>,-0.5218269228935242
tayl,-0.5243303775787354
swimsuit</w>,-0.5280736684799194
pad,-0.5291576385498047
zhou</w>,-0.529995322227478
prima,-0.530909538269043
tracey</w>,-0.5402648448944092
rhonda</w>,-0.5411975383758545
exhi,-0.5419393181800842
spide,-0.5446454286575317
ðŁĲ¶,-0.54929119348526
teat,-0.5494809746742249
sexy</w>,-0.5515915751457214
when</w>,-0.5529081225395203
trousers</w>,-0.5529215931892395
anime,-0.5531227588653564
gigi,-0.5555954575538635
mandy,-0.559218168258667
vani,-0.5632868409156799
rushed</w>,-0.5634260773658752
louisa</w>,-0.5641524791717529
myjaps</w>,-0.5676046013832092
ggins</w>,-0.5702475309371948
mana,-0.5702587366104126
kae,-0.5705569982528687
teasing</w>,-0.5707706809043884
males</w>,-0.5719173550605774
stocking</w>,-0.5737411379814148
toria</w>,-0.5750380754470825
eri,-0.5770372152328491
flashes</w>,-0.5789333581924438
lupita</w>,-0.5806745290756226
spine</w>,-0.5827711820602417
sharapova</w>,-0.582851231098175
senpai</w>,-0.5834973454475403
posture</w>,-0.5854156613349915
whispering</w>,-0.5906693339347839
thic</w>,-0.5911185145378113
uncture</w>,-0.5922505259513855
yu,-0.5955078601837158
trish</w>,-0.5967811346054077
jiha,-0.5977416038513184
mannequin</w>,-0.5989122986793518
wagner</w>,-0.6001018285751343
tress</w>,-0.6002163887023926
vica</w>,-0.6010941863059998
ziest</w>,-0.6021739840507507
vivian</w>,-0.6028339862823486
womens</w>,-0.6029738783836365
dola</w>,-0.6040508151054382
victoria</w>,-0.604103147983551
ng,-0.6088833212852478
simone</w>,-0.6090487241744995
irina</w>,-0.6120784282684326
topless</w>,-0.615451455116272
maria</w>,-0.6159456968307495
anyi</w>,-0.6164522767066956
mtv,-0.6206281185150146
modelling</w>,-0.6262967586517334
sini,-0.6264371275901794
âĿ¤âĿ¤âĿ¤</w>,-0.6299450397491455
robe</w>,-0.6319676637649536
evan,-0.6335141062736511
mamamoo</w>,-0.6343652009963989
positioned</w>,-0.6344202756881714
len</w>,-0.6351319551467896
deux</w>,-0.6363164186477661
twent,-0.6375619769096375
magaz,-0.638465404510498
sg,-0.6392158269882202
soprano</w>,-0.641276478767395
successor</w>,-0.6414955854415894
me,-0.6459406018257141
donghae</w>,-0.6497851014137268
poc</w>,-0.6517035365104675
tamil,-0.6566354036331177
divin,-0.656964898109436
sensual</w>,-0.6576486229896545
kylie,-0.6584033966064453
âĵ,-0.6595115661621094
ķ</w>,-0.6618666648864746
cd,-0.6631938219070435
waterhouse</w>,-0.6633756160736084
enslaved</w>,-0.6686858534812927
menopause</w>,-0.6687037348747253
nip</w>,-0.6728859543800354
nen,-0.673477828502655
illing</w>,-0.6735131144523621
vered</w>,-0.6759418249130249
ssal</w>,-0.6762078404426575
stills</w>,-0.6764419078826904
âľĭ</w>,-0.6830049753189087
snuggle</w>,-0.6846061944961548
kylie</w>,-0.6853773593902588
sex,-0.6865915656089783
wendy,-0.6878648996353149
missuniverse</w>,-0.6888434886932373
rian</w>,-0.6888850331306458
territ,-0.6898410320281982
satin</w>,-0.6908436417579651
