token,loss
guitar,-0.0007944281678646
guitar</w>,-0.002366718603298
pianist</w>,-0.0035570869222283
guit,-0.005174471065402
strum</w>,-0.0088359722867608
orch,-0.0130769778043031
needle,-0.0141773307695984
acoustic</w>,-0.0161889605224132
guitars</w>,-0.017158729955554
tele</w>,-0.0227323919534683
piano,-0.0238611288368701
lesh</w>,-0.0265253391116857
he,-0.0290070474147796
shredding</w>,-0.034956831485033
kling,-0.0381029024720191
ences</w>,-0.0431011989712715
enos</w>,-0.0449987687170505
vsky</w>,-0.0476277582347393
grove,-0.0480581223964691
birch,-0.0538119785487651
assembling</w>,-0.0561138093471527
sotu</w>,-0.0591490417718887
tutti</w>,-0.0744253396987915
semicon,-0.0754454508423805
stills</w>,-0.0803139433264732
hwy</w>,-0.0835427939891815
name</w>,-0.0848296731710434
natash,-0.0853485986590385
loom</w>,-0.0863276720046997
ðŁĺĨ</w>,-0.0901311561465263
bilt</w>,-0.1021344512701034
itt</w>,-0.1039294674992561
abra</w>,-0.115349605679512
à¸¡,-0.1207179799675941
fiddle</w>,-0.1257118135690689
agri,-0.1280008852481842
happ,-0.1343633383512497
stations</w>,-0.1398399770259857
trumpet</w>,-0.1455477327108383
machinelearning</w>,-0.1479404270648956
garth,-0.1520020812749862
planting</w>,-0.1623236984014511
towel</w>,-0.1666317880153656
choo</w>,-0.1671090126037597
balotelli</w>,-0.1671353727579116
tone,-0.1767705380916595
ellis</w>,-0.1775126904249191
gobucks</w>,-0.1832310110330581
old</w>,-0.1840243339538574
fal,-0.1854499131441116
kellie</w>,-0.2005225419998169
consumers</w>,-0.2009957432746887
ship</w>,-0.2040417641401291
johnny,-0.2061191201210022
krist,-0.2100709676742553
synth,-0.2111894339323043
bn,-0.2135497778654098
si,-0.2160031944513321
hickman</w>,-0.2162515670061111
bombshell</w>,-0.2183277755975723
peabo,-0.2199947386980056
hindu,-0.2205095738172531
grasp</w>,-0.2218941897153854
hud,-0.2228980660438537
pipelines</w>,-0.2276152968406677
desperately</w>,-0.2311623990535736
ima</w>,-0.232694610953331
comman,-0.233776718378067
insane</w>,-0.2339709401130676
intensity</w>,-0.2402475476264953
nutrition,-0.241268590092659
martin,-0.2470606714487075
hendrix</w>,-0.2475891858339309
hermitage</w>,-0.252653568983078
same</w>,-0.2563479244709015
harp</w>,-0.257366806268692
sao</w>,-0.2627027630805969
lender</w>,-0.2635204493999481
rajini,-0.2635807394981384
chÃ¢,-0.2694162726402282
nailart</w>,-0.2720957398414612
franc,-0.2773734927177429
string,-0.2775105237960815
cent</w>,-0.2823732495307922
mundo</w>,-0.2862078249454498
stick,-0.3085633516311645
wb</w>,-0.3087913393974304
U,-0.3090203106403351
bannon</w>,-0.3093190491199493
allabout,-0.3134071230888366
waiting</w>,-0.3184831142425537
spirited</w>,-0.3187562525272369
tower,-0.3188228905200958
tele,-0.3210603594779968
sf,-0.3288555145263672
digimon</w>,-0.3308245241641998
leth,-0.3313163518905639
unclear</w>,-0.3341972231864929
visi,-0.3342743217945099
naacp</w>,-0.340655118227005
ðŁĺª,-0.3420611917972564
regar,-0.3443823456764221
bate,-0.3459425270557403
wars</w>,-0.3478117287158966
âĺºï¸ı,-0.3495247066020965
ffame</w>,-0.3509804010391235
exhau,-0.3513353765010834
qing,-0.3554187715053558
atkins</w>,-0.3559039831161499
graveyard</w>,-0.3559577465057373
greco</w>,-0.3579742610454559
jester</w>,-0.3660319149494171
uneven</w>,-0.3760265409946441
erly</w>,-0.3768821954727173
past,-0.3787165880203247
lineman</w>,-0.3829407691955566
moreland</w>,-0.3875221312046051
gravy</w>,-0.3914900720119476
range,-0.3922176361083984
nickjonas</w>,-0.3933610320091247
bon,-0.3991202712059021
weller</w>,-0.3997389078140259
negro</w>,-0.3998216688632965
anesthesia</w>,-0.4034309089183807
fficient</w>,-0.4043849110603332
soaring</w>,-0.4065983295440674
movic</w>,-0.4068536460399627
gira,-0.4079797565937042
guitarist</w>,-0.4103948771953583
bae,-0.411155641078949
frampton</w>,-0.4199427962303161
steel,-0.4210292100906372
achieved</w>,-0.4239581823348999
khu,-0.424966812133789
interface</w>,-0.4311628341674804
hollow,-0.4317485690116882
icks</w>,-0.4327834546566009
angerous</w>,-0.4340597987174988
allevi,-0.4371249675750732
cheerleader</w>,-0.4374520778656006
choo,-0.4393865168094635
towering</w>,-0.4408695995807647
cylinders</w>,-0.4477147459983825
nil</w>,-0.4508566558361053
sotto</w>,-0.4515227377414703
accountant</w>,-0.4543269574642181
jagger</w>,-0.4586105942726135
ðŁİŃ</w>,-0.4606386721134186
begins</w>,-0.4629744291305542
staffers</w>,-0.4641036093235016
steak</w>,-0.4642389118671417
kayla</w>,-0.4649288654327392
exchanges</w>,-0.4683414101600647
clu,-0.4717534184455871
tiem,-0.4721681475639343
aney</w>,-0.4733943343162536
link</w>,-0.4767929315567016
brunomars</w>,-0.481044203042984
ðŁĻĮðŁı½</w>,-0.4854416251182556
maya</w>,-0.4855443835258484
cws</w>,-0.4867704510688782
tariff</w>,-0.4870988726615906
biggest,-0.4888632297515869
yoko,-0.4926523566246032
tups</w>,-0.4968027472496032
"],</w>",-0.4997866749763489
courts</w>,-0.5018001794815063
mohsin</w>,-0.5035808086395264
eight</w>,-0.5035814046859741
scotsman</w>,-0.5063813328742981
cole</w>,-0.5094638466835022
presiding</w>,-0.5108782052993774
masquerade</w>,-0.5123880505561829
beet</w>,-0.5146751999855042
uan</w>,-0.5283308029174805
pric,-0.529271125793457
treasury</w>,-0.5299679040908813
pipel,-0.5310971736907959
simul,-0.5321873426437378
dic</w>,-0.5340088605880737
pendu,-0.5351258516311646
sgo</w>,-0.5375577807426453
mf</w>,-0.5442260503768921
ðŁĺĳ,-0.5452555418014526
¸,-0.5463938117027283
tado</w>,-0.5473263263702393
keh,-0.547749936580658
composites</w>,-0.5497785806655884
beet,-0.5511114597320557
podi,-0.5543431043624878
ÙĤ,-0.5574015378952026
quinte,-0.560785710811615
undertaker</w>,-0.5613619089126587
panto</w>,-0.5648287534713745
wedo</w>,-0.5648733377456665
ter,-0.5651966333389282
instrument,-0.5701891183853149
attack</w>,-0.5701943039894104
capri</w>,-0.5746800899505615
phu,-0.5748788118362427
cred,-0.5761545300483704
microscope</w>,-0.5762696862220764
ðŁĺįðŁĶ¥</w>,-0.5772783160209656
chapel</w>,-0.5795562863349915
animations</w>,-0.58012455701828
parting</w>,-0.5803670287132263
hr,-0.5822376608848572
alexander</w>,-0.583383321762085
dh</w>,-0.5883905291557312
conve,-0.59220290184021
prk</w>,-0.5935083627700806
pede,-0.5936470031738281
renamed</w>,-0.5952126979827881
condor</w>,-0.5963137745857239
jodi,-0.5977703332901001
clipping</w>,-0.6030935049057007
!!!!!!!!,-0.603156566619873
ðŁı,-0.6095389127731323
train</w>,-0.6097756624221802
john</w>,-0.6105150580406189
rohing,-0.6128712892532349
wim,-0.6148656606674194
montage</w>,-0.6171668767929077
reys</w>,-0.6188853979110718
"(""</w>",-0.6205898523330688
ell</w>,-0.6234713196754456
eels</w>,-0.6288233995437622
pallet</w>,-0.6304306983947754
battery</w>,-0.6307591199874878
lazy</w>,-0.630871593952179
pompeii</w>,-0.6314911246299744
pipe</w>,-0.6316699981689453
ghat</w>,-0.6380201578140259
deceased</w>,-0.6381443738937378
catastrophe</w>,-0.6415454149246216
tampab,-0.6439068913459778
lul,-0.6464937329292297
protesting</w>,-0.6473914980888367
shored,-0.6483737230300903
tomb,-0.659623384475708
genetically</w>,-0.6597253084182739
seuss</w>,-0.6624149680137634
mics</w>,-0.6640040874481201
cinematographer</w>,-0.6657298803329468
montp,-0.6679118275642395
rohan</w>,-0.6743351817131042
iker</w>,-0.67586350440979
ckey</w>,-0.6772193908691406
stairway</w>,-0.6783698201179504
row</w>,-0.6819175481796265
yeg</w>,-0.6863900423049927
domain</w>,-0.6891504526138306
ttes</w>,-0.6896044611930847
comet</w>,-0.6937323212623596
zipper</w>,-0.6988316178321838
avocados</w>,-0.7033984661102295
steed</w>,-0.703920304775238
Ğ,-0.7091984152793884
zayn,-0.7118425369262695
secular,-0.7176193594932556
metroid</w>,-0.7180871367454529
nure,-0.7211394906044006
dthe,-0.7222281098365784
trenches</w>,-0.726580023765564
ammunition</w>,-0.7341002821922302
broadcasting</w>,-0.7347894906997681
curriculum</w>,-0.7415010333061218
mang,-0.7423315048217773
wagon</w>,-0.7430772185325623
katherine</w>,-0.7435123324394226
cookie</w>,-0.7460757493972778
tracked</w>,-0.7467980980873108
hermo,-0.7482902407646179
sored</w>,-0.7515448331832886
subtitles</w>,-0.7534453868865967
antony</w>,-0.7577542662620544
handmade</w>,-0.7589985132217407
historians</w>,-0.7596641778945923
maternal</w>,-0.7599053978919983
fere</w>,-0.7601232528686523
suspended</w>,-0.7631590962409973
sap</w>,-0.7664337754249573
nasa</w>,-0.7733883261680603
bargaining</w>,-0.7745125889778137
jais,-0.7770318388938904
cals</w>,-0.7773690223693848
acp</w>,-0.7792914509773254
croche,-0.7812212705612183
palace</w>,-0.7814635634422302
geous</w>,-0.7834200263023376
practiced</w>,-0.7846983671188354
gallagher</w>,-0.7849873304367065
mlpfim</w>,-0.785878598690033
wrecking</w>,-0.788120687007904
gogo</w>,-0.7885208129882812
gambia</w>,-0.7998059988021851
intrac,-0.8011870980262756
mayer</w>,-0.8024327158927917
bian</w>,-0.805972695350647
holds</w>,-0.80698162317276
friend</w>,-0.811593770980835
asco</w>,-0.8127576112747192
ãĥ³</w>,-0.8222387433052063
inim,-0.822344958782196
ahaha</w>,-0.8241289258003235
comm,-0.8244405388832092
lazio</w>,-0.8250014781951904
marvelous</w>,-0.8262749910354614
*)</w>,-0.8286216855049133
attack,-0.8295415043830872
pipe,-0.8305331468582153
atal,-0.8306577801704407
cavendish</w>,-0.8312585949897766
pluto</w>,-0.8375838398933411
wondr,-0.842899739742279
pyramid</w>,-0.8436092138290405
reo,-0.8451187610626221
steadily</w>,-0.8470939993858337
acoustics</w>,-0.8477361798286438
minimal</w>,-0.8480936288833618
anfield</w>,-0.8512710332870483
safari</w>,-0.863412082195282
mourn</w>,-0.864099383354187
berkeley</w>,-0.8641803860664368
rufc</w>,-0.8646030426025391
benches</w>,-0.8698039054870605
fleck</w>,-0.8744338154792786
outine</w>,-0.8753135204315186
dend,-0.875318169593811
train,-0.8767706155776978
questionable</w>,-0.8786168098449707
wald</w>,-0.8789536356925964
keyes</w>,-0.8826961517333984
loft,-0.8827394247055054
being,-0.883851170539856
ahmedabad</w>,-0.8852118253707886
stapleton</w>,-0.8859894275665283
forrest</w>,-0.8865970373153687
orc</w>,-0.8903972506523132
!!!,-0.8906216025352478
raq,-0.8915632367134094
worker</w>,-0.8917617797851562
ghosts</w>,-0.8928576111793518
sewing</w>,-0.8934178352355957
tful</w>,-0.8944690823554993
jame,-0.8955698013305664
