token,loss
cosmo,-0.0117710083723068
vessel</w>,-0.0486123114824295
trophies</w>,-0.0941408276557922
glas,-0.1333029419183731
margarita</w>,-0.1534673422574997
shui</w>,-0.153989627957344
anesthesia</w>,-0.1672547906637191
va</w>,-0.1999397724866867
odd</w>,-0.2211953997611999
margaritas</w>,-0.2565965056419372
hennessy</w>,-0.2713570594787597
ĩ,-0.2801290452480316
prosecco</w>,-0.3212279975414276
balanced</w>,-0.3275724053382873
salud</w>,-0.3606163561344147
fizz</w>,-0.3699134588241577
partici,-0.4262477159500122
âĺĶï¸ı</w>,-0.4305632710456848
âĺķï¸ı,-0.4326401352882385
martini</w>,-0.5389485955238342
tional</w>,-0.5606765747070312
mas,-0.5857346653938293
hersh,-0.6154381036758423
daq</w>,-0.6247888803482056
drinks</w>,-0.6285155415534973
tulip</w>,-0.6291438341140747
ðŁĵį,-0.6302473545074463
pins</w>,-0.6385669112205505
ber,-0.6433592438697815
sentim,-0.6721771359443665
gallon</w>,-0.7012394070625305
balloon</w>,-0.7127957344055176
ohhh</w>,-0.765640914440155
prosecu,-0.7980352640151978
horsepower</w>,-0.8275080919265747
figure,-0.830337405204773
ica</w>,-0.8589099645614624
glas</w>,-0.8811358213424683
ðŁ¤«</w>,-0.8882117867469788
font,-0.8909022212028503
keted</w>,-0.9462556838989258
pinot</w>,-0.9549401998519896
liqueur</w>,-1.0151238441467283
booties</w>,-1.026553988456726
drink</w>,-1.0434815883636477
belly</w>,-1.0512948036193848
".,</w>",-1.053879976272583
ðŁĺĭ</w>,-1.0620715618133545
emmy</w>,-1.0641562938690186
talbot</w>,-1.084610939025879
gare</w>,-1.1124827861785889
revamp</w>,-1.1126923561096191
pair,-1.143168330192566
sawards</w>,-1.1438353061676023
pouring</w>,-1.1451632976531982
feeling</w>,-1.1483306884765625
dition,-1.1578030586242676
yas,-1.1681575775146484
wamy</w>,-1.1886897087097168
champagne</w>,-1.245550513267517
center,-1.2904022932052612
catholic,-1.3269014358520508
stanleycup</w>,-1.328096628189087
saf,-1.335663080215454
globes</w>,-1.348140835762024
piff</w>,-1.374885082244873
itting</w>,-1.375780463218689
glass</w>,-1.3876961469650269
bacher</w>,-1.4044159650802612
artificialintelligence</w>,-1.415109634399414
bad,-1.4345582723617554
tulips</w>,-1.4449552297592163
exposed</w>,-1.4557985067367554
jan</w>,-1.4680482149124146
oot</w>,-1.487720012664795
ðŁĻĪ</w>,-1.4883747100830078
equinox</w>,-1.5150758028030396
cone</w>,-1.530372977256775
oud</w>,-1.5309104919433594
lw,-1.5368256568908691
weav,-1.5502049922943115
sangria</w>,-1.5510953664779663
sparty</w>,-1.5583877563476562
ance,-1.5757347345352173
olympians</w>,-1.581501841545105
antiques</w>,-1.5934367179870603
equally</w>,-1.5978105068206787
mustangs</w>,-1.6083167791366575
rek</w>,-1.6112827062606812
tending</w>,-1.6205904483795166
vase</w>,-1.629698634147644
intl,-1.6424380540847778
wein,-1.6486953496932983
cincodemayo</w>,-1.6509357690811155
erock</w>,-1.657064437866211
neuro,-1.664785623550415
camel</w>,-1.6676132678985596
verbally</w>,-1.667878270149231
posted</w>,-1.6789839267730713
foal</w>,-1.6809574365615845
lia</w>,-1.6947389841079712
referr,-1.6957342624664309
robo,-1.7115260362625122
trophy,-1.7136532068252563
moon</w>,-1.718544602394104
pretty,-1.7401468753814695
tenor</w>,-1.742019534111023
ðŁİħ,-1.7542349100112915
refu,-1.75664222240448
sau</w>,-1.7735660076141355
glou,-1.7770991325378418
steff,-1.7884047031402588
beloved</w>,-1.7928210496902466
ðŁĺĤðŁĺĤðŁĺĤðŁĺĤ</w>,-1.8044078350067136
chip,-1.807711124420166
unsolved</w>,-1.817577123641968
wig</w>,-1.824995994567871
idi,-1.8256292343139648
heaton</w>,-1.8482452630996704
taboo</w>,-1.8552625179290767
parfait</w>,-1.860200881958008
supermoon</w>,-1.8726533651351929
absurd</w>,-1.8895317316055296
pietro</w>,-1.893093228340149
trophy</w>,-1.9084947109222408
ssu</w>,-1.9144282341003416
bliss,-1.9152133464813232
editions</w>,-1.9190874099731443
meer,-1.9270687103271484
enko</w>,-1.9382092952728271
abol,-1.9410276412963867
sodium</w>,-1.9430338144302368
rooster</w>,-1.949646472930908
stips</w>,-1.950507402420044
ornaments</w>,-1.9578028917312624
ug</w>,-1.962103247642517
ãĢį</w>,-1.9621719121932983
brain</w>,-1.964163899421692
chess</w>,-1.975350379943848
dans</w>,-1.991115927696228
bulbs</w>,-2.0031211376190186
logies</w>,-2.005732774734497
robinson</w>,-2.006387710571289
deportation</w>,-2.0084331035614014
ance</w>,-2.0109846591949463
bree</w>,-2.012911558151245
brett</w>,-2.021066427230835
princi,-2.0213303565979004
tooting</w>,-2.0320799350738525
mushroom</w>,-2.039363145828247
roe</w>,-2.040522336959839
inr</w>,-2.0457653999328613
daft</w>,-2.0530872344970703
anyi</w>,-2.0605010986328125
desses</w>,-2.063462257385254
presumably</w>,-2.0863687992095947
poll</w>,-2.090547800064087
ard,-2.1097524166107178
preci,-2.112155675888061
poultry</w>,-2.113974332809448
½</w>,-2.12180757522583
kenya</w>,-2.122191905975342
embed,-2.123392343521118
pendu,-2.123473644256592
thard</w>,-2.1274449825286865
observation</w>,-2.1336889266967773
voor,-2.1349172592163086
avalanche</w>,-2.139254570007324
litt</w>,-2.142390727996826
scented</w>,-2.145775318145752
Ĝ,-2.151681900024414
ylene</w>,-2.1542255878448486
wineoclock</w>,-2.155740261077881
depths</w>,-2.168377637863159
antelope</w>,-2.1689133644104004
oon</w>,-2.1702911853790283
pot</w>,-2.172839641571045
rabhu</w>,-2.174215793609619
scale,-2.17557692527771
smafia</w>,-2.1804122924804688
dled</w>,-2.2071874141693115
mitt</w>,-2.207834482192993
transformed</w>,-2.2080230712890625
ðŁİīðŁİĪ,-2.208865165710449
commun,-2.2128851413726807
un,-2.2277657985687256
exceeding</w>,-2.2349212169647217
prick</w>,-2.238511562347412
worse</w>,-2.240804672241211
stool,-2.243805408477783
acol,-2.2546539306640625
ogue</w>,-2.259319543838501
oom</w>,-2.260380983352661
going</w>,-2.2726597785949707
sciutto</w>,-2.2745230197906494
ðŁĴĸðŁĴĸðŁĴĸ</w>,-2.275975227355957
doub,-2.2861075401306152
emor,-2.286756753921509
spiderman</w>,-2.286895036697388
finite</w>,-2.2908287048339844
upscale</w>,-2.292039632797241
anesthe,-2.316784381866455
vocal,-2.328642606735229
hau,-2.3287806510925293
thumbnail</w>,-2.339350938796997
rarity</w>,-2.3420560359954834
refresh</w>,-2.3463594913482666
leg,-2.34837007522583
bert</w>,-2.3488543033599854
wineries</w>,-2.3490078449249268
fist,-2.352431297302246
sinthe,-2.3540055751800537
sciento,-2.3543834686279297
tors</w>,-2.355584621429444
transat,-2.36814022064209
toilets</w>,-2.369513988494873
gallo,-2.372279644012451
mitage</w>,-2.372633457183838
metam,-2.3764164447784424
filly</w>,-2.380221128463745
climate,-2.380250930786133
wears</w>,-2.384916067123413
bolt</w>,-2.3857614994049072
nugent</w>,-2.3865714073181152
shots</w>,-2.3881137371063232
icy,-2.390154838562012
ches,-2.392134666442871
jade,-2.3984947204589844
patron,-2.4028635025024414
ðŁĸ¤</w>,-2.4029700756073
holo,-2.40437126159668
neuro</w>,-2.4090776443481445
radiation</w>,-2.4108633995056152
beyon,-2.415627956390381
lighten</w>,-2.4159727096557617
ups</w>,-2.4169788360595703
pilsner</w>,-2.420684576034546
ipa</w>,-2.428825616836548
egos</w>,-2.4296350479125977
ðŁ¥ĥ</w>,-2.436076641082764
distillery</w>,-2.443697929382324
gowns</w>,-2.444963216781616
unda</w>,-2.445472955703736
turnup</w>,-2.4479775428771973
moisture</w>,-2.449292659759521
anyway</w>,-2.453399181365967
coc,-2.45529580116272
medusa</w>,-2.455308675765991
ok,-2.4633731842041016
meade</w>,-2.466040134429932
bari,-2.466647386550904
glend,-2.4733307361602783
fils</w>,-2.4742531776428223
Ã±o</w>,-2.4749412536621094
msn,-2.4750401973724365
stro</w>,-2.4753994941711426
vert</w>,-2.4771182537078857
wl,-2.484628438949585
pluto</w>,-2.487342596054077
fug,-2.488318920135498
brush,-2.4910240173339844
coeur</w>,-2.491483449935913
jy,-2.495757341384888
ðŁĳįðŁı¼,-2.4969642162323
teng,-2.4997479915618896
malcol,-2.5025761127471924
sized</w>,-2.506753444671631
goldenglobes</w>,-2.5088419914245605
ðŁĳİ</w>,-2.51399302482605
opha,-2.515760660171509
figure</w>,-2.5169193744659424
pot,-2.5184898376464844
ðŁĺĺðŁĺĺ</w>,-2.519193649291992
millen,-2.521090745925904
hydrate</w>,-2.5338375568389893
spreading</w>,-2.5436935424804688
dramatically</w>,-2.548673629760742
rendous</w>,-2.5490365028381348
faint</w>,-2.557833671569824
alcoholic</w>,-2.566310167312622
ric,-2.579598426818848
poise</w>,-2.587545394897461
poetryday</w>,-2.594890117645264
implants</w>,-2.5950002670288086
eva</w>,-2.595566272735596
moh</w>,-2.598198175430298
shortest</w>,-2.604566097259521
"....""</w>",-2.605945587158203
tread</w>,-2.606830596923828
reti,-2.607299566268921
crest,-2.614600419998169
ssss</w>,-2.6181328296661377
ĸï¸ı</w>,-2.618346691131592
bados</w>,-2.6283278465271
faye</w>,-2.6305794715881348
nim,-2.633195400238037
pigeon</w>,-2.638350248336792
dented</w>,-2.640573501586914
wir</w>,-2.640702247619629
two</w>,-2.641531467437744
leafy</w>,-2.6433441638946533
backbone</w>,-2.644584894180298
reaper</w>,-2.646938800811768
focused</w>,-2.661710500717163
loretta</w>,-2.664648056030273
opportun,-2.666071891784668
rips</w>,-2.6715707778930664
wine,-2.67582368850708
prettiest</w>,-2.676981210708618
cargo</w>,-2.678295850753784
urn</w>,-2.6806466579437256
draft</w>,-2.6835696697235107
rabbits</w>,-2.688000202178955
demonic</w>,-2.6930456161499023
slaughtered</w>,-2.6972358226776123
greatest,-2.697474956512451
spur</w>,-2.700209379196167
Â°,-2.708561658859253
leaning</w>,-2.709359884262085
rinse</w>,-2.709364652633667
actually</w>,-2.709925413131714
erose</w>,-2.712494134902954
schol,-2.7131059169769287
chemotherapy</w>,-2.715795993804932
teat,-2.7162528038024902
carou,-2.71872353553772
peu,-2.719251871109009
zind,-2.7208375930786133
cola</w>,-2.724459171295166
pear</w>,-2.7259185314178467
lettuce</w>,-2.726459503173828
ģ</w>,-2.726759195327759
bes,-2.727663516998291
pei</w>,-2.7282936573028564
reic,-2.728736400604248
ðŁį¾</w>,-2.7307491302490234
golden,-2.737938165664673
ðŁĻıðŁĻı</w>,-2.74253511428833
organs</w>,-2.744158744812012
plas,-2.761399030685425
awesom,-2.763789892196656
hammock</w>,-2.766587972640991
allblacks</w>,-2.7704858779907227
agar</w>,-2.77061128616333
vir</w>,-2.77426815032959
fatty</w>,-2.774672746658325
decadent</w>,-2.7798995971679688
smoothie</w>,-2.780145168304444
meat,-2.78960919380188
ðŁĺ¨</w>,-2.7920145988464355
Û</w>,-2.795450448989868
wines</w>,-2.798485040664673
lants</w>,-2.802396535873413
poured</w>,-2.8087007999420166
ify</w>,-2.809349536895752
painting,-2.814256191253662
peace,-2.8155055046081543
bust,-2.818695068359375
aucus</w>,-2.8207483291625977
band,-2.823314905166626
pap</w>,-2.82409405708313
shaving</w>,-2.827166080474853
slugger</w>,-2.8300321102142334
ggi</w>,-2.8370752334594727
tock</w>,-2.848469018936157
corin,-2.849066972732544
pregn,-2.8553671836853027
kool,-2.856292486190796
veins</w>,-2.860508918762207
bubble,-2.8642449378967285
Â¿,-2.864620923995972
gud,-2.868248701095581
request</w>,-2.868368625640869
devastation</w>,-2.8719687461853027
lump</w>,-2.874454975128174
apho,-2.8764939308166504
magno,-2.8771402835845947
".""âĢĶ</w>",-2.878669261932373
cupcake</w>,-2.8788766860961914
eggplant</w>,-2.8803555965423584
midweek</w>,-2.8827388286590576
existence</w>,-2.8858957290649414
consciousness</w>,-2.8870596885681152
analyst</w>,-2.890040874481201
chess,-2.894264936447144
germin,-2.894345998764038
ðŁĳīðŁĳī</w>,-2.900587558746338
illumination</w>,-2.901369571685791
received</w>,-2.902632474899292
fied,-2.906622886657715
badges</w>,-2.9072728157043457
ðŁĶģ</w>,-2.9095206260681152
smoothies</w>,-2.9100472927093506
ignite</w>,-2.913501024246216
slaves</w>,-2.9145376682281494
sberg</w>,-2.915199518203736
changed</w>,-2.91587781906128
ork,-2.9199206829071045
mier</w>,-2.9244868755340576
nips</w>,-2.925359010696411
precipitation</w>,-2.9260177612304688
tast,-2.926584005355835
gma</w>,-2.9280924797058105
orchar,-2.9289803504943848
thorn,-2.929383516311645
pottery</w>,-2.9303667545318604
â¬ħï¸ı</w>,-2.9324800968170166
worldcup,-2.94036602973938
toro</w>,-2.9404618740081787
recommend,-2.940462112426758
policy,-2.9411253929138184
cfl,-2.9452812671661377
shakers</w>,-2.9470083713531494
antgrasso</w>,-2.94752836227417
melanch,-2.951930046081543
elixir</w>,-2.953242063522339
awkward</w>,-2.9548842906951904
eee</w>,-2.955615282058716
à¥Ģ,-2.957181453704834
madagas,-2.9617342948913574
omg</w>,-2.962829828262329
gravity</w>,-2.9630472660064697
bola</w>,-2.9636030197143555
winewednesday</w>,-2.9681761264801025
alim,-2.9742660522460938
fw</w>,-2.974308967590332
leagueof,-2.97622013092041
ides</w>,-2.978546142578125
smoo,-2.979902744293213
ðŁĲĿ</w>,-2.9840333461761475
duck</w>,-2.984597682952881
eleng,-2.9848127365112305
rhea</w>,-2.9863481521606445
ran,-2.989311695098877
seva</w>,-2.990046739578247
helm</w>,-2.990600109100342
hein,-2.9913477897644043
agar,-2.992493867874145
booze</w>,-2.9927525520324707
bobo</w>,-2.9948606491088867
inflation</w>,-2.996635675430298
pett,-2.99696946144104
redwings</w>,-2.99983811378479
