token,loss
braries</w>,-0.0401370450854301
biblio,-0.063967689871788
manufacture</w>,-0.1523320078849792
bigdata</w>,-0.1660070866346359
enthusiasts</w>,-0.167851373553276
library</w>,-0.1725273579359054
intercep,-0.1842006742954254
makerspace</w>,-0.1872548311948776
enrollment</w>,-0.2179211527109146
coli,-0.2187878191471099
bookshop</w>,-0.2292724996805191
ingham</w>,-0.2404035329818725
libraries</w>,-0.2906334400177002
cafeteria</w>,-0.2922254204750061
potd</w>,-0.3091110289096832
visitspain</w>,-0.3133281171321869
luton</w>,-0.3327821791172027
cafe</w>,-0.3538021445274353
gaza,-0.3570941686630249
betis</w>,-0.3644002079963684
aisle</w>,-0.3647711277008056
salford</w>,-0.382952481508255
schools</w>,-0.38423752784729
euston</w>,-0.3874467611312866
librarians</w>,-0.3966768383979797
wye,-0.3996644914150238
bookstores</w>,-0.4318102300167084
raqqa</w>,-0.4451771378517151
vinyl,-0.4469327330589294
workplaces</w>,-0.4540017247200012
retail,-0.4545108079910278
hellenic</w>,-0.4608806371688843
oxford,-0.4862208962440491
courtroom</w>,-0.4919215738773346
quetta</w>,-0.4969785809516907
coworking</w>,-0.5075379610061646
supply,-0.5155660510063171
liston</w>,-0.5165897607803345
retailer</w>,-0.5265363454818726
bookfest</w>,-0.563872218132019
moines</w>,-0.5671684741973877
wallstreet</w>,-0.5735931396484375
parme,-0.5913534164428711
amenities</w>,-0.5946744680404663
brary</w>,-0.6069190502166748
section,-0.6105024218559265
around,-0.6131033301353455
orchi,-0.6433632373809814
tice</w>,-0.6522901058197021
âĺĺ,-0.6641750335693359
nordstrom</w>,-0.6675800085067749
primark</w>,-0.6709852814674377
meeting,-0.674448549747467
sainsburys</w>,-0.6774542927742004
liverpool</w>,-0.6791864037513733
dialo,-0.6852006316184998
lab,-0.6890345811843872
copenhagen</w>,-0.6921332478523254
kpmg</w>,-0.6965546607971191
mpton</w>,-0.7023588418960571
soweto</w>,-0.7097280621528625
penthouse</w>,-0.7283689379692078
laboratory</w>,-0.7292910814285278
canals</w>,-0.7339944243431091
revit,-0.7427151203155518
central,-0.7666445374488831
intu,-0.7722806930541992
firms</w>,-0.7822837829589844
valence</w>,-0.783315896987915
piccadilly</w>,-0.7859670519828796
glar,-0.7895159125328064
coming,-0.7918609380722046
categori,-0.7977591156959534
parl,-0.7989932894706726
conferencing</w>,-0.8006126880645752
conferences</w>,-0.8126084804534912
library,-0.8192494511604309
malls</w>,-0.8254995942115784
university,-0.827001690864563
nih</w>,-0.8372228145599365
obstru,-0.8377642631530762
physiology</w>,-0.850641131401062
benton</w>,-0.8518049120903015
containers</w>,-0.8542291522026062
optome,-0.8584421277046204
cto</w>,-0.8634307980537415
hist,-0.8671336770057678
browsing</w>,-0.870740532875061
lawmakers</w>,-0.872829794883728
cey</w>,-0.873741626739502
somer,-0.8785794377326965
williamsburg</w>,-0.8801026940345764
mbs</w>,-0.8860486745834351
defic,-0.889748752117157
emporium</w>,-0.8909584283828735
goodwill</w>,-0.8936042785644531
reconstruction</w>,-0.8942379951477051
books,-0.8991224765777588
redevelopment</w>,-0.900136411190033
bordeaux</w>,-0.90118408203125
chocolate</w>,-0.9020617008209229
instore</w>,-0.9027796983718872
dungeon,-0.9043066501617432
genoa</w>,-0.9054862856864928
villa,-0.9080770015716552
treasury</w>,-0.9188191294670104
bookstore</w>,-0.9215428829193116
matologist</w>,-0.942691683769226
scentre</w>,-0.94607812166214
books</w>,-0.9470173120498656
mirrors</w>,-0.9509023427963256
fcblive</w>,-0.9541503190994264
eindhoven</w>,-0.9665577411651612
divi,-0.9671448469161988
behindthescenes</w>,-0.9698105454444884
airport,-0.971521496772766
factory</w>,-0.9717987179756165
lÃ©,-0.9863721132278442
toon,-0.9870589375495912
factory,-0.9917620420455932
homedepot</w>,-0.9923218488693236
galleria</w>,-0.9927390813827516
hv</w>,-0.9928390979766846
seminar</w>,-0.9939063787460328
tesco</w>,-1.0002418756484983
pensions</w>,-1.027510166168213
street,-1.0300320386886597
schicago</w>,-1.030226469039917
anasta,-1.030691385269165
museums</w>,-1.032923460006714
mall,-1.0414094924926758
lecturer</w>,-1.0467973947525024
reale,-1.0527387857437134
clinics</w>,-1.053699254989624
irport</w>,-1.0599548816680908
limerick</w>,-1.0633851289749146
streets</w>,-1.0687402486801147
briefing</w>,-1.069069504737854
portugue,-1.0720840692520142
cna</w>,-1.079053521156311
opho,-1.079514503479004
canteen</w>,-1.0869741439819336
fdi</w>,-1.0924822092056274
classrooms</w>,-1.0982964038848877
showroom</w>,-1.100415587425232
hearings</w>,-1.1012059450149536
hilton</w>,-1.1094937324523926
saloon</w>,-1.1110942363739014
leith</w>,-1.1144587993621826
exhibitor</w>,-1.118014574050903
glasgow</w>,-1.1191860437393188
delec,-1.1259130239486694
bureau</w>,-1.128156661987305
seoul</w>,-1.1320291757583618
shoplocal</w>,-1.1349257230758667
icus</w>,-1.135697841644287
hosp,-1.137999415397644
ysm</w>,-1.1382496356964111
barne,-1.1402573585510254
thenburg</w>,-1.1429409980773926
igh</w>,-1.1442474126815796
parliament</w>,-1.147663116455078
toftheday</w>,-1.1486836671829224
stir,-1.1490875482559204
techs</w>,-1.1503483057022097
taproom</w>,-1.1603409051895142
bookshelf</w>,-1.160818099975586
wholesale</w>,-1.1608744859695437
jum,-1.164088487625122
hyatt,-1.1663626432418823
privi,-1.1738288402557373
ondon</w>,-1.1759313344955444
taine,-1.187304973602295
bremen</w>,-1.1899720430374146
rochester</w>,-1.1920405626296997
endi</w>,-1.195917010307312
gym,-1.1961188316345217
delft</w>,-1.2001376152038574
naples</w>,-1.2128907442092896
teras</w>,-1.2133991718292236
building,-1.2152272462844849
mies</w>,-1.2162768840789795
bosa</w>,-1.2168214321136477
votes</w>,-1.2223095893859863
grims,-1.2260982990264893
broward</w>,-1.23880934715271
turi,-1.2437374591827393
6,-1.2504491806030271
conveni,-1.253087878227234
vacant</w>,-1.2548640966415403
shipment</w>,-1.2566381692886353
verst,-1.2582480907440186
walsh</w>,-1.2663474082946775
dvds</w>,-1.2703189849853516
cubic,-1.2711580991744995
saigon</w>,-1.2720556259155271
bobc,-1.2728798389434814
cafe,-1.2774393558502195
mtl</w>,-1.2798771858215332
parma</w>,-1.2827664613723757
rue,-1.287110686302185
utrecht</w>,-1.2877888679504397
westfield</w>,-1.2923966646194458
ins,-1.2929773330688477
store,-1.2982264757156372
stal,-1.2993431091308594
signings</w>,-1.3099260330200195
kitchen,-1.3103493452072144
ln</w>,-1.3111748695373535
calle</w>,-1.3205658197402954
cellar</w>,-1.3218400478363037
legislative</w>,-1.3227554559707642
des,-1.3305619955062866
nagoya</w>,-1.3315006494522097
overview</w>,-1.333726406097412
bonn</w>,-1.3456013202667236
battersea</w>,-1.348621129989624
g</w>,-1.3725429773330688
cea</w>,-1.38091778755188
hall,-1.3843079805374146
restaurant,-1.385079026222229
clt,-1.392367243766785
venezu,-1.3951911926269531
separating</w>,-1.396747589111328
chinatown</w>,-1.3982139825820925
tous</w>,-1.3988341093063354
lille</w>,-1.3993741273880005
tumb,-1.4018877744674685
dau,-1.403090238571167
penetr,-1.4034607410430908
stret,-1.4075998067855835
ashford</w>,-1.4162795543670654
uniof,-1.4163066148757937
nyu,-1.417387843132019
riverfront</w>,-1.418373465538025
terminal</w>,-1.419388771057129
rent,-1.420702338218689
ðŁĵĿ:</w>,-1.4242339134216309
versailles</w>,-1.425926685333252
kingston</w>,-1.4270507097244265
trailer</w>,-1.4273606538772583
citro,-1.4274262189865112
ãħłãħł,-1.4278879165649414
suppliers</w>,-1.4329687356948853
booth,-1.433834195137024
mi,-1.4386975765228271
madrid</w>,-1.441480278968811
university</w>,-1.446564555168152
ikea</w>,-1.4540901184082031
manufacturing</w>,-1.4545795917510986
retail</w>,-1.4558913707733154
loans</w>,-1.4588605165481567
boston,-1.4604023694992063
hof</w>,-1.460407257080078
ðŁĺĶ,-1.4635748863220217
umich,-1.4650851488113403
canton,-1.4665720462799072
cnc</w>,-1.4674837589263916
hugh,-1.4684849977493286
witherspoon</w>,-1.474471926689148
tiva</w>,-1.4755816459655762
commerci,-1.476710557937622
gare,-1.4846564531326294
prati,-1.485744833946228
france,-1.4859293699264526
pueblo</w>,-1.4867727756500244
candi,-1.4888077974319458
ayala</w>,-1.491645336151123
target</w>,-1.4961175918579102
tnx</w>,-1.5012139081954956
waterstones</w>,-1.501350164413452
mosul</w>,-1.5074986219406128
tempe</w>,-1.5172311067581177
clusive</w>,-1.5175920724868774
stree,-1.5208059549331665
ðŁĩ,-1.521276354789734
sations</w>,-1.522022724151611
remodel,-1.5259541273117063
fl</w>,-1.527056336402893
pembroke,-1.527750849723816
la</w>,-1.530143976211548
univ,-1.5323593616485596
yoy</w>,-1.534174919128418
strasbourg</w>,-1.5346174240112305
general</w>,-1.5369478464126587
cmu</w>,-1.5430326461791992
cantina</w>,-1.5431675910949707
supermarkets</w>,-1.5462321043014526
voter,-1.549481749534607
pax,-1.5508501529693604
obstacle</w>,-1.5526094436645508
effortless</w>,-1.5528570413589478
seduc,-1.553734540939331
groceries</w>,-1.5608645677566528
junkie</w>,-1.5610229969024658
acle</w>,-1.562057614326477
pharmac,-1.5648795366287231
7</w>,-1.5662871599197388
platte</w>,-1.5691035985946655
boardwalk</w>,-1.570632815361023
homs</w>,-1.5710798501968384
structured</w>,-1.5730046033859253
jurisdic,-1.5737380981445312
napier</w>,-1.5745627880096436
Ď,-1.5747652053833008
seaport</w>,-1.5755945444107056
pitt,-1.5781852006912231
victoria,-1.5865298509597778
peru,-1.588371515274048
amc</w>,-1.5888373851776123
colombo</w>,-1.589305758476257
clearance</w>,-1.5899912118911743
design,-1.5929949283599854
brooklyn</w>,-1.596051812171936
plaza</w>,-1.5961062908172607
northampton</w>,-1.601246953010559
mall</w>,-1.6038341522216797
indoor,-1.6197361946105957
castro</w>,-1.6232141256332395
courthouse</w>,-1.6237540245056152
bales</w>,-1.6244049072265625
newsroom</w>,-1.6287086009979248
readings</w>,-1.6288237571716309
syrian,-1.632736325263977
punta</w>,-1.6374777555465698
retailers</w>,-1.6375411748886108
anglo</w>,-1.63916277885437
classroom</w>,-1.657679319381714
sheen</w>,-1.6601241827011108
anew</w>,-1.663316249847412
mcnam,-1.6679863929748535
architec,-1.6694533824920654
stad,-1.6706479787826538
jammu</w>,-1.6724425554275513
buildings</w>,-1.6739704608917236
office,-1.6758078336715698
appren,-1.676027536392212
acon,-1.6764247417449951
bistro</w>,-1.6769955158233645
architecture,-1.6789878606796265
rooftop</w>,-1.6797806024551392
refurbi,-1.6833943128585815
birmingham</w>,-1.6899418830871582
marriott</w>,-1.6943552494049072
pru,-1.6953020095825195
york</w>,-1.697454571723938
veled</w>,-1.6987788677215576
mcle,-1.6993385553359983
siegel</w>,-1.7036030292510986
contex,-1.70585036277771
repet,-1.7080790996551514
peckham</w>,-1.7087241411209106
manchester</w>,-1.7131727933883667
synagogue</w>,-1.7149873971939087
bway</w>,-1.7150976657867432
boe</w>,-1.7160475254058838
gidi</w>,-1.7181005477905271
la,-1.7184553146362305
