token,loss
shoes</w>,-0.0006190069834701
brazili,-0.0224047657102346
kidlit</w>,-0.037436805665493
shoes,-0.0435875803232193
stl,-0.0588233657181263
groceries</w>,-0.0589823648333549
brooklyn</w>,-0.0612083114683628
eatery</w>,-0.0616214200854301
vac</w>,-0.0635552555322647
matth,-0.0818592682480812
sweat</w>,-0.0836587250232696
aters</w>,-0.0851012989878654
dortmund</w>,-0.0874525681138038
shattered</w>,-0.0901105403900146
city,-0.0955560505390167
quetta</w>,-0.1056786179542541
edinburgh,-0.1060388088226318
mccle,-0.1131446585059166
vendors</w>,-0.1175212785601615
sequences</w>,-0.1194418743252754
weston</w>,-0.1209705397486686
festival,-0.1280743926763534
ðŁĺĸ</w>,-0.1298389881849289
ðŁĩ¦ðŁĩ·</w>,-0.1303828209638595
elders</w>,-0.1304005533456802
harbor</w>,-0.133804589509964
djan,-0.1439898014068603
oye,-0.1441436558961868
socialism</w>,-0.1445729434490203
wien</w>,-0.1473480761051178
paris,-0.1473710685968399
homedepot</w>,-0.1477766633033752
ancestors</w>,-0.1478278636932373
ecu,-0.1547324657440185
people</w>,-0.1559105664491653
funko</w>,-0.1574509292840957
viet</w>,-0.1608803421258926
demp,-0.1624786555767059
acre,-0.165854811668396
ven</w>,-0.1705486625432968
fleet</w>,-0.1710995435714721
conventions</w>,-0.187223345041275
dallas,-0.1903435736894607
atti</w>,-0.1905106455087661
pti,-0.1911961883306503
coles,-0.1940589547157287
mac</w>,-0.1945291012525558
orlando</w>,-0.1948121041059494
pile</w>,-0.1959147900342941
aaaaaaaa,-0.2004993706941604
fairi,-0.2016370147466659
berlin,-0.2033446729183197
heidelberg</w>,-0.2081062644720077
fau</w>,-0.2087650448083877
forkids</w>,-0.2091794908046722
sush,-0.2185253947973251
rubble</w>,-0.2190103828907013
ddad</w>,-0.220966026186943
instaweatherpro</w>,-0.2231454700231552
",#</w>",-0.2242905348539352
auditor</w>,-0.2291712313890457
haj,-0.2301027774810791
ftse</w>,-0.2323827892541885
beng,-0.2327984124422073
esy,-0.2343044281005859
boosts</w>,-0.2377411723136901
vegas</w>,-0.239507108926773
alle,-0.2419477701187133
fresno,-0.2420802563428878
ni</w>,-0.2429541498422622
accomp,-0.2440975606441497
kies</w>,-0.2447366267442703
commun,-0.2479896396398544
barbar,-0.249629721045494
trash,-0.2500296235084533
salford</w>,-0.2535983622074127
sseldorf</w>,-0.2562820017337799
list,-0.2565320134162903
deli,-0.2571102678775787
downed</w>,-0.2586633861064911
cnn</w>,-0.26025390625
gott,-0.2624458372592926
huddersfield</w>,-0.2636248767375946
tesco</w>,-0.2652850747108459
solution</w>,-0.2667206823825836
hartford</w>,-0.267578512430191
sair,-0.2677218616008758
citiz,-0.2697086930274963
fiorentina</w>,-0.2724872529506683
rais,-0.272699236869812
porto</w>,-0.2741126120090484
ched,-0.2784793078899383
unci,-0.2785772681236267
coco,-0.2798340916633606
ean</w>,-0.281080961227417
shops</w>,-0.2816282212734222
gus</w>,-0.2824413180351257
peanu,-0.2839677333831787
eastbourne</w>,-0.2867670357227325
pbb,-0.2874350249767303
dates</w>,-0.2883821427822113
rubbish</w>,-0.2888393104076385
hender,-0.290835440158844
mason</w>,-0.2956298589706421
sissy</w>,-0.29676553606987
tou</w>,-0.2981365919113159
elves</w>,-0.3007670938968658
jackson,-0.3021533787250519
everett</w>,-0.3030290901660919
lights</w>,-0.304752767086029
industries</w>,-0.3076881170272827
sarajevo</w>,-0.3080077171325683
abbrevi,-0.3092916011810303
shoreditch</w>,-0.3112089931964874
palermo</w>,-0.3158932328224182
bran</w>,-0.3164071440696716
delhi</w>,-0.317253828048706
alt,-0.3216431140899658
luton</w>,-0.322731465101242
greenwich</w>,-0.3243621587753296
al</w>,-0.3253785073757171
jacksonville</w>,-0.3272210359573364
unda</w>,-0.3281525075435638
!!!</w>,-0.3333861231803894
areth</w>,-0.3356050848960876
gron,-0.3358034491539001
existential</w>,-0.3362250030040741
jee</w>,-0.3365857005119324
pharmacists</w>,-0.338347852230072
ãħĭãħĭ,-0.3384982645511627
did,-0.3404459655284881
acks</w>,-0.3410932123661041
even,-0.3418281078338623
repostapp</w>,-0.3424873054027557
baghdad</w>,-0.3426999151706695
simple,-0.3438081443309784
ahmedabad</w>,-0.3448477387428283
hams</w>,-0.347518652677536
working,-0.3487521111965179
eu,-0.3507513999938965
moncton</w>,-0.3545271456241607
okc,-0.3563339114189148
".'""</w>",-0.3566788733005523
brussels</w>,-0.3598343133926391
ulls</w>,-0.3621216118335724
surplus</w>,-0.3627479374408722
crowded</w>,-0.3645301163196563
cambodia</w>,-0.365872323513031
market,-0.3663904666900635
malaga</w>,-0.3664021790027618
hannover</w>,-0.3679436445236206
assau,-0.3681226968765259
winne,-0.3711544871330261
cologne</w>,-0.3735188841819763
peshaw,-0.3740346729755401
chinese</w>,-0.3742893636226654
pali,-0.3752711117267608
cting</w>,-0.3793131411075592
siena</w>,-0.3794624209403991
pack</w>,-0.3804913163185119
regulators</w>,-0.3808428049087524
sneaks</w>,-0.3819905519485473
approved</w>,-0.3832900524139404
benevol,-0.385401576757431
Ń</w>,-0.3863444030284881
dayton,-0.3876930177211761
aig</w>,-0.3896058201789856
bies</w>,-0.3902837336063385
lc</w>,-0.3930329382419586
ðŁĶ®</w>,-0.3931755721569061
master,-0.3941354751586914
southgate</w>,-0.3942634165287018
motel</w>,-0.3954769670963287
access,-0.3975397050380707
walmart</w>,-0.3980709910392761
skipped</w>,-0.4001302123069763
sams</w>,-0.4016138017177582
full,-0.4040788114070892
armb,-0.4046008884906769
catalonia</w>,-0.4062211215496063
wholefoods</w>,-0.4069544672966003
acy</w>,-0.4070681929588318
armored</w>,-0.4090668857097626
stockport</w>,-0.4092545211315155
medina</w>,-0.411243200302124
cupcakes</w>,-0.4122339487075805
muppets</w>,-0.4142695367336273
cochrane</w>,-0.4151723682880401
laven,-0.4157347977161407
ðŁıŁ</w>,-0.4179036319255829
gateshead</w>,-0.4181361198425293
cin,-0.4182168841361999
solit,-0.4184169471263885
clair</w>,-0.419325441122055
disasters</w>,-0.4194641411304474
costco</w>,-0.422370433807373
absc,-0.4236288070678711
...</w>,-0.423988789319992
sandy</w>,-0.4247402846813202
career</w>,-0.4283332824707031
macle,-0.4283447861671448
crisps</w>,-0.429673820734024
archive</w>,-0.430924654006958
grocer,-0.4343859851360321
humor,-0.4349012076854706
clients</w>,-0.4350501894950866
sigma,-0.4368858933448791
bodega</w>,-0.4384165704250335
merchants</w>,-0.4391736090183258
joburg</w>,-0.4405826926231384
gen</w>,-0.4411347508430481
ration,-0.4419537782669067
definition</w>,-0.4422742128372192
gsp</w>,-0.4429455399513244
sba</w>,-0.4433609247207641
davison</w>,-0.4434208273887634
