token,loss
betts</w>,-0.0059655271470546
braves</w>,-0.0060433601029217
fielder</w>,-0.0098600313067436
openingday</w>,-0.0141413602977991
mets</w>,-0.0152624947950243
mntwins</w>,-0.0171817112714052
gio,-0.0226512979716062
zim</w>,-0.0241824556142091
counsell,-0.0290137343108654
brewers</w>,-0.0328279770910739
worldseries</w>,-0.0400873497128486
bourn</w>,-0.0424947030842304
rhp</w>,-0.0429753772914409
baseball,-0.0429886952042579
gomes</w>,-0.0430247820913791
mariners</w>,-0.0464664585888385
oftball</w>,-0.0467351078987121
harper,-0.0484292358160018
milb</w>,-0.0537304021418094
rallies</w>,-0.0541564784944057
tomlinson</w>,-0.0548081807792186
batting</w>,-0.0594400353729724
à¸Ķ,-0.0601807720959186
kkr</w>,-0.0615483298897743
donaldson</w>,-0.0618629790842533
thome</w>,-0.0659599974751472
carney</w>,-0.0676180273294448
rendon</w>,-0.0769725814461708
mccann</w>,-0.0773241892457008
ump,-0.0812724530696868
croati,-0.0831505805253982
lidge</w>,-0.0837385058403015
padres</w>,-0.0845254883170127
cabrera</w>,-0.0848166272044181
stro</w>,-0.0849403664469719
stras</w>,-0.0852422043681144
les,-0.0856655612587928
pitchers</w>,-0.0858247354626655
birdwatching</w>,-0.0880211517214775
drogba</w>,-0.0883662551641464
baseball</w>,-0.0893329083919525
tball</w>,-0.0937772989273071
astros</w>,-0.0962244123220443
robertson</w>,-0.0966652482748031
nats</w>,-0.0991614386439323
inf,-0.0993896573781967
smer,-0.0998057425022125
nationals</w>,-0.1002645716071128
stlcards</w>,-0.1023532450199127
batter,-0.1031410098075866
sfgiants</w>,-0.1060365512967109
jeter</w>,-0.1080774962902069
rog,-0.1090340241789817
scotty,-0.112550139427185
softball</w>,-0.1140538081526756
machado</w>,-0.1186579465866088
livan</w>,-0.1188509166240692
phils</w>,-0.1194068789482116
cubs</w>,-0.1238602325320243
redsox</w>,-0.1246367767453193
whitesox</w>,-0.1248646676540374
marlins</w>,-0.1268430054187774
cricketers</w>,-0.1285423785448074
devon</w>,-0.1301654130220413
imvkohli</w>,-0.1345712393522262
orioles</w>,-0.1392913162708282
mlb,-0.1402046680450439
ghj,-0.1413008421659469
wizkid</w>,-0.1413488239049911
wainwright</w>,-0.1436769813299179
sent,-0.1487215310335159
dhoni</w>,-0.1540634781122207
springer</w>,-0.1584994047880172
yann,-0.1616267710924148
jorge,-0.1619787514209747
manny,-0.1638485491275787
bullpen</w>,-0.1760502606630325
Ûģ,-0.1765745282173156
jays</w>,-0.1843644380569458
ichiro</w>,-0.1843731850385666
mlb</w>,-0.1853265911340713
survivor,-0.1880125105381012
tek,-0.1881396323442459
twy,-0.190453752875328
theori,-0.1930829435586929
