token,loss
letto</w>,-0.0002226481301477
bench</w>,-0.0018979428568854
sofa</w>,-0.0133081739768385
rests</w>,-0.0160816237330436
benches</w>,-0.017939118668437
bed</w>,-0.0224268920719623
sit</w>,-0.0247940104454755
ladders</w>,-0.0327670648694038
sla,-0.0464331172406673
ðŁĺĲ</w>,-0.0470543764531612
seat,-0.0522088780999183
alist</w>,-0.0725283846259117
jol,-0.0895701050758361
american</w>,-0.0927142575383186
shining</w>,-0.1050723642110824
design</w>,-0.1076951324939727
surrey,-0.1099027171730995
charge</w>,-0.12025848031044
christensen</w>,-0.1304959654808044
ł,-0.1595540791749954
d,-0.1985561400651931
âľı,-0.2138743698596954
ws,-0.215242862701416
bounce</w>,-0.2160047441720962
leys,-0.2263298630714416
patio</w>,-0.2286125123500824
compart,-0.2401406913995742
tables</w>,-0.2430845648050308
carriage,-0.2435932457447052
oss,-0.2591331005096435
mmor,-0.2592221796512604
bed,-0.2659123539924621
chalet</w>,-0.2693077325820923
hari</w>,-0.2718623578548431
âĺķ,-0.29009810090065
para</w>,-0.2904883027076721
ghe,-0.3005676567554474
amb,-0.3082486987113952
lakeshore</w>,-0.3156059980392456
vineyard</w>,-0.3242022097110748
evento</w>,-0.3331537246704101
ÅŁ,-0.3380267918109894
cot,-0.3459638357162475
gerald,-0.34653240442276
mohsin</w>,-0.347571462392807
avar,-0.3525768518447876
colle,-0.3552285432815552
crate</w>,-0.3631599843502044
fr,-0.3644923567771911
hotel,-0.3658243715763092
acqu,-0.3700219392776489
pbc</w>,-0.3708284199237823
anasta,-0.3730743825435638
fd,-0.3872672021389007
revolution</w>,-0.391638845205307
inventions</w>,-0.3925308883190155
avgeek</w>,-0.4032221436500549
zlat,-0.406194806098938
reper,-0.4193989634513855
supdates</w>,-0.4260403215885162
topics</w>,-0.4273338615894317
charcoal</w>,-0.4327318966388702
ãĤ¤,-0.4327428340911865
mam,-0.4328307807445526
craigslist</w>,-0.4504801630973816
adjustable</w>,-0.4506908655166626
meeting</w>,-0.4587642550468445
pamph,-0.4648937582969665
sson</w>,-0.4680541157722473
hur</w>,-0.4798795580863952
concours</w>,-0.4837159514427185
velvet</w>,-0.4868115484714508
proto,-0.4921440482139587
chesterfield</w>,-0.4922956824302673
mam</w>,-0.4977664351463318
dart</w>,-0.5010185837745667
hermitage</w>,-0.5038162469863892
renewable</w>,-0.5090967416763306
compartment</w>,-0.5092021822929382
farmer,-0.5101171135902405
dmc</w>,-0.5177240371704102
lazer</w>,-0.5179556012153625
jind,-0.5229873657226562
koso,-0.5249301791191101
unstopp,-0.530504584312439
_/,-0.5316433310508728
stra</w>,-0.5475223660469055
osp,-0.5481187105178833
wab</w>,-0.552736759185791
autu,-0.5595293641090393
wc,-0.5618089437484741
prett,-0.5812002420425415
beh,-0.5868806838989258
segu,-0.5969701409339905
san,-0.597574770450592
buds</w>,-0.6037397384643555
åı,-0.6062038540840149
elephants</w>,-0.6086405515670776
een,-0.6119034290313721
twitart</w>,-0.6141209602355957
toc,-0.6152107119560242
day</w>,-0.6164709329605103
ripe</w>,-0.6182665824890137
approved</w>,-0.6228601932525635
cule</w>,-0.6268004179000854
(!)</w>,-0.6396579742431641
hypocrisy</w>,-0.6404446959495544
mck,-0.6529083847999573
tait</w>,-0.6642143726348877
friedman</w>,-0.6805256605148315
homec,-0.6849654316902161
ddu</w>,-0.6971774697303772
unnoticed</w>,-0.7009440064430237
naire</w>,-0.7021828293800354
dock,-0.7080124616622925
wiltshire</w>,-0.7084486484527588
cap,-0.7086242437362671
press,-0.7134649753570557
''</w>,-0.7157912254333496
event,-0.7307650446891785
burg</w>,-0.7330631613731384
tho</w>,-0.7378777861595154
roofing</w>,-0.7408981323242188
coni,-0.7424065470695496
limpopo</w>,-0.7565277218818665
gree,-0.7657362222671509
er</w>,-0.7663032412528992
£,-0.7778823971748352
!)</w>,-0.7798600196838379
cdc,-0.7803502678871155
cels</w>,-0.782768726348877
rainforest</w>,-0.7833970785140991
duke,-0.7863014936447144
radiodisney</w>,-0.7954219579696655
cous</w>,-0.7990576028823853
petit,-0.8015973567962646
villar,-0.8102808594703674
journo</w>,-0.8221396207809448
apparatus</w>,-0.8247740268707275
studio</w>,-0.8309468626976013
@,-0.8319700956344604
mac</w>,-0.832253098487854
staples</w>,-0.8418655395507812
statu,-0.8482473492622375
jeremiah</w>,-0.8504236936569214
teed</w>,-0.8539635539054871
trash,-0.854436993598938
camer,-0.871044397354126
proctor</w>,-0.8783056735992432
costu,-0.8814710378646851
retrogamer</w>,-0.8918932676315308
offen,-0.8939248323440552
sami</w>,-0.9040906429290771
sleep</w>,-0.905128002166748
sala</w>,-0.9126776456832886
azte,-0.9175060391426086
bookreview</w>,-0.919890820980072
kipp,-0.9238174557685852
ðŁĳİ,-0.9358716011047364
sainsbury</w>,-0.9428967237472534
shotel</w>,-0.9515143632888794
swe,-0.953097939491272
broome</w>,-0.9572098851203918
nature</w>,-0.9689921736717224
stocked</w>,-0.9700113534927368
splendor</w>,-0.9783776998519896
ria</w>,-0.980173647403717
granted</w>,-0.9876208901405334
wilderness</w>,-0.9912097454071044
Ħë,-0.9959033131599426
cosy</w>,-1.000724196434021
redo</w>,-1.0116972923278809
wardro,-1.0137258768081665
excerpt</w>,-1.0149190425872805
painting,-1.0254796743392944
kau</w>,-1.053046464920044
alex</w>,-1.0537621974945068
idyllic</w>,-1.0561476945877075
celsius</w>,-1.061464786529541
nomin,-1.064160704612732
miracle</w>,-1.0676089525222778
bureau</w>,-1.0733126401901243
ĥ</w>,-1.0823314189910889
bully,-1.0838476419448853
bench,-1.0911178588867188
collapse</w>,-1.0938241481781006
nas,-1.1107689142227173
rages</w>,-1.1117079257965088
thyro,-1.1135039329528809
dha,-1.1154764890670776
bhat,-1.1169874668121338
thinner</w>,-1.1197504997253418
antv</w>,-1.1282604932785034
valle,-1.1307868957519531
raft</w>,-1.1318316459655762
aso,-1.14193856716156
ellison</w>,-1.150949239730835
rock,-1.1536933183670044
texan,-1.16247820854187
emmy,-1.1636500358581543
can</w>,-1.1668044328689575
ki,-1.1694093942642212
ãĢ,-1.171306848526001
alexander,-1.172588348388672
homestead</w>,-1.1742682456970217
wis,-1.1757439374923706
fiancÃ©</w>,-1.1784437894821167
odell</w>,-1.1816718578338623
buggy</w>,-1.1822179555892944
datac,-1.185615062713623
prostatec,-1.1881039142608645
cki,-1.1932834386825562
okan,-1.19404399394989
root</w>,-1.1978979110717771
pri,-1.201522946357727
tro,-1.204170823097229
rulers</w>,-1.205469846725464
mccle,-1.2093230485916138
monton</w>,-1.212223768234253
admissions</w>,-1.2144036293029783
awaiting</w>,-1.2153348922729492
liff</w>,-1.2257320880889893
mac,-1.2259936332702637
mister</w>,-1.2268211841583252
bhi,-1.23395037651062
silicon</w>,-1.238554835319519
crops</w>,-1.2391571998596191
branch</w>,-1.2443772554397583
linkin</w>,-1.2459579706192017
talla,-1.2530328035354614
gor</w>,-1.2543723583221436
kosher</w>,-1.2638269662857056
duvet</w>,-1.26659095287323
barnsley</w>,-1.267869234085083
opry</w>,-1.2680355310440063
kak,-1.2710360288619995
hotels</w>,-1.2731313705444336
tored</w>,-1.2754535675048828
nook</w>,-1.2767596244812012
rowan</w>,-1.2767800092697144
curric,-1.2801218032836914
elit,-1.280746340751648
credenti,-1.2811877727508545
smo</w>,-1.2847174406051636
elover</w>,-1.2898889780044556
highland,-1.2935682535171509
range</w>,-1.2948381900787354
presence</w>,-1.2996162176132202
gardens</w>,-1.3014072179794312
uphill</w>,-1.3016377687454224
dren</w>,-1.304035782814026
âĺĢ</w>,-1.3058704137802124
