token,loss
fielder</w>,-0.0041603441350162
donaldson</w>,-0.0045753922313451
mariners</w>,-0.0093835182487964
endow,-0.0131832081824541
rosenthal</w>,-0.0131928715854883
boda</w>,-0.0180056318640708
scuba,-0.0271513126790523
snell</w>,-0.033082515001297
baseball,-0.0348230823874473
four,-0.0371257923543453
agon,-0.0391725152730941
orioles</w>,-0.0416111573576927
rendon</w>,-0.0417995154857635
batter</w>,-0.0433337800204753
infield</w>,-0.0482172966003418
ceremonies</w>,-0.0486643090844154
kohli</w>,-0.0494432598352432
cricketer</w>,-0.0500083677470684
nationals</w>,-0.0505354218184948
astros</w>,-0.0514328554272651
ferrell</w>,-0.0528070293366909
worldseries</w>,-0.0545274727046489
netany,-0.0557486563920974
dbacks</w>,-0.061025895178318
springtraining</w>,-0.0627095177769661
mlb</w>,-0.0670300126075744
whitesox</w>,-0.0678401812911033
sbaseball</w>,-0.0708468407392501
gomes</w>,-0.0713008865714073
counsell,-0.0737755522131919
fernandez</w>,-0.0738866999745369
bullpen</w>,-0.0741549879312515
lg,-0.0790776908397674
popp,-0.0801082476973533
teams</w>,-0.0808464884757995
feller</w>,-0.0842128992080688
hanley</w>,-0.0861724540591239
nats</w>,-0.0861776471138
cubs</w>,-0.0903495550155639
korean,-0.0935804024338722
ferrer</w>,-0.0953862741589546
stlcards</w>,-0.0964096933603286
¥</w>,-0.0968358963727951
indians</w>,-0.0974200293421745
marriage,-0.0986143127083778
weddings</w>,-0.099157229065895
ump,-0.0997823625802993
sny,-0.1025152280926704
pogba</w>,-0.1025479137897491
dinger</w>,-0.1031032130122184
outfield</w>,-0.1042269766330719
mitchell</w>,-0.1061309278011322
ck</w>,-0.1063249483704567
noo,-0.1067532822489738
matri,-0.1070060580968856
dallascowboys</w>,-0.1075410693883895
pitch</w>,-0.109201081097126
ëĵ,-0.1112120598554611
cano,-0.1144336685538292
hundreds</w>,-0.1153591722249984
thephoto,-0.1161109283566474
ruben</w>,-0.1170403957366943
burnett</w>,-0.1222306862473487
stefan,-0.1229705736041069
bunting</w>,-0.1229741498827934
sfgiants</w>,-0.123189590871334
machado</w>,-0.1282083392143249
confetti</w>,-0.1286098957061767
realmadrid</w>,-0.1335554420948028
diver</w>,-0.1337957978248596
sebasti,-0.1394835859537124
thome</w>,-0.1410538554191589
clemens</w>,-0.143606036901474
ortiz</w>,-0.147267609834671
gue,-0.1480687707662582
beto</w>,-0.1482810527086258
eigh,-0.1503491252660751
msd,-0.1518996655941009
chey,-0.1522666215896606
prom,-0.1530335992574691
cutters</w>,-0.158926710486412
promin,-0.1609002947807312
sick,-0.1711304634809494
married</w>,-0.1720142662525177
fowler</w>,-0.1732089519500732
cameron</w>,-0.1734884679317474
roy</w>,-0.179064393043518
shutout</w>,-0.1810214519500732
gundy</w>,-0.1814969480037689
isu</w>,-0.1824777275323867
msdhoni</w>,-0.1910463124513626
sfield</w>,-0.1916415989398956
clemente</w>,-0.1920032203197479
ĩ,-0.19203782081604
supporting</w>,-0.1951125562191009
stan,-0.1966456919908523
yaz,-0.1974595338106155
classy</w>,-0.1976982504129409
coors</w>,-0.1992195695638656
hitting</w>,-0.1993648409843444
ichiro</w>,-0.2015409916639328
wed,-0.2030553817749023
er,-0.2034206390380859
vanderbilt</w>,-0.2037994116544723
cabrera</w>,-0.2046034485101699
fiers</w>,-0.2056052684783935
nat,-0.2062543481588363
mesut</w>,-0.2070195227861404
m,-0.207906574010849
gz,-0.2087995558977127
craig,-0.20957051217556
hitter</w>,-0.2107071280479431
amin,-0.2121554464101791
swagg</w>,-0.2130604088306427
jeter</w>,-0.2152456045150756
harper,-0.2156171202659607
shaun</w>,-0.2156347185373306
sidd,-0.2158171683549881
rhp</w>,-0.2174432873725891
pitchers</w>,-0.2232126146554947
dhoni</w>,-0.2272238880395889
hea,-0.2273402214050293
ph,-0.2279034703969955
int,-0.2283426374197006
survivor,-0.2345356792211532
batting</w>,-0.2371861785650253
pitching</w>,-0.2405390739440918
kimi</w>,-0.2405706197023391
millar</w>,-0.2430981695652008
cides</w>,-0.24891197681427
howe</w>,-0.2489378154277801
ģ,-0.2500054240226745
promp,-0.2506293952465057
phillies</w>,-0.2535461187362671
à¸Ķ,-0.2544246315956116
cano</w>,-0.2559128403663635
bronx,-0.2563798129558563
federer</w>,-0.2573172450065613
formally</w>,-0.2584205567836761
kim,-0.2591789066791534
saves</w>,-0.2600920796394348
ware,-0.2619741857051849
corey</w>,-0.2620573043823242
elite,-0.2648793458938598
fifteen</w>,-0.2661987841129303
hailstate</w>,-0.2668558061122894
rhapso,-0.2679455280303955
referees</w>,-0.2711317539215088
ramsey</w>,-0.2802434861660003
surprise</w>,-0.2820671200752258
betts</w>,-0.2826122641563415
mathieu</w>,-0.2885656356811523
jv,-0.2891803085803985
naby</w>,-0.2903349101543426
mlb,-0.2906733751296997
throwing</w>,-0.292679876089096
hallmarkchannel</w>,-0.2953917384147644
eman,-0.2967102229595184
episcopal</w>,-0.2969204187393188
brides</w>,-0.302242249250412
wedding,-0.3034871816635132
buckeyes</w>,-0.3037828207015991
rockies</w>,-0.303975373506546
vidal</w>,-0.3062706589698791
goria</w>,-0.311356782913208
announ,-0.3137106895446777
messi,-0.3151527941226959
juve,-0.3155425786972046
spouse</w>,-0.3160805106163025
drogba</w>,-0.3178920447826385
palmer,-0.3200697898864746
cougs</w>,-0.3200957179069519
marriage</w>,-0.3213428258895874
bridesmaids</w>,-0.3237726986408233
hsfb</w>,-0.3293458819389343
ks,-0.3337616324424743
rohit</w>,-0.3373933732509613
spursofficial</w>,-0.3388626277446747
manship</w>,-0.339844137430191
pak,-0.341578722000122
royalwedding</w>,-0.3466188907623291
flip</w>,-0.3472789824008941
wondo</w>,-0.3490482568740845
mets</w>,-0.3500186502933502
inning</w>,-0.3531830310821533
fifaworldcup</w>,-0.3542053699493408
strike,-0.3550633490085602
yasi,-0.3570875823497772
belichick</w>,-0.3612382113933563
putting</w>,-0.3636102974414825
basti,-0.3638287782669067
lefto,-0.3642840981483459
innings</w>,-0.3643029034137726
vian,-0.3646449446678161
stech,-0.3647345006465912
0,-0.3681801259517669
congratul,-0.3687517940998077
suarez</w>,-0.3695620894432068
robson</w>,-0.3710964322090149
earl,-0.371781975030899
twp</w>,-0.3718078136444092
stro</w>,-0.3740342557430267
group,-0.377349853515625
sent,-0.3780528903007507
beij,-0.3831069469451904
à¸ķ,-0.3868540525436401
ymi</w>,-0.3881974816322326
champs</w>,-0.3905718028545379
torres</w>,-0.390600711107254
".""",-0.3921354115009308
marrying</w>,-0.3939116597175598
prof,-0.3947696089744568
premier,-0.3961548805236816
diddy</w>,-0.3969720900058746
snapper</w>,-0.3980678021907806
lukaku</w>,-0.3991541266441345
groom</w>,-0.402630865573883
davy</w>,-0.4064860939979553
marlins</w>,-0.4066245555877685
hez,-0.4085023701190948
patric,-0.4094929993152618
goin</w>,-0.4097329974174499
femi</w>,-0.4138520956039428
msd</w>,-0.4199864268302917
ceremony</w>,-0.4204981923103332
braves</w>,-0.4214630722999573
retained</w>,-0.4246438443660736
griezmann</w>,-0.4252951443195343
lidge</w>,-0.4253201484680176
wil,-0.4256544411182403
abd</w>,-0.4281522631645202
pesticides</w>,-0.4308181703090668
jong</w>,-0.4310795664787292
wedd,-0.4361899197101593
benz,-0.4371232986450195
armagh</w>,-0.4388289451599121
rebs</w>,-0.4474729299545288
upton</w>,-0.448380708694458
grat,-0.4515203833580017
nominating</w>,-0.4518780708312988
robles</w>,-0.4528903365135193
luis</w>,-0.4530050158500671
ismail</w>,-0.454088807106018
uswnt</w>,-0.4542139172554016
charl,-0.4554522335529327
philipp</w>,-0.4558016657829284
foster,-0.4599078595638275
mington</w>,-0.4610423445701599
kywx</w>,-0.470787763595581
tee,-0.4714040160179138
E,-0.4759155511856079
jennings</w>,-0.4786038398742676
alumna</w>,-0.480184257030487
photographer</w>,-0.4830464720726013
theori,-0.4830834865570068
allie</w>,-0.487883985042572
mongo,-0.4887813031673431
guests</w>,-0.4903689622879028
trad,-0.4914091527462005
elope</w>,-0.4973484873771667
guardiola</w>,-0.4995571970939636
ayr,-0.4998912215232849
colin,-0.5016240477561951
bridesma,-0.5085423588752747
meghan,-0.510405957698822
jakob</w>,-0.5137795805931091
bram,-0.5138816237449646
bingham,-0.5150268077850342
chicas</w>,-0.5150763988494873
lhp</w>,-0.5153747797012329
citizenship</w>,-0.5177666544914246
bourn</w>,-0.5180743932723999
ssional</w>,-0.519167959690094
milb</w>,-0.5194813013076782
lmaoo</w>,-0.519760251045227
naidu</w>,-0.5203049778938293
shall</w>,-0.5208039283752441
pastures</w>,-0.525636613368988
tball</w>,-0.526976466178894
yester,-0.5291538834571838
coura,-0.5311712026596069
send,-0.5313776731491089
pandey</w>,-0.5318233966827393
