token,loss
jaguar</w>,-0.0145603911951184
leopard</w>,-0.0552218072116375
conservation,-0.0616282671689987
animal,-0.1199134960770607
lion,-0.1396791040897369
ters</w>,-0.2156948447227478
chee</w>,-0.2204746603965759
roar,-0.2251223623752594
jaguar,-0.2401301562786102
leopards</w>,-0.2488429397344589
elot</w>,-0.2488456964492797
cheetah</w>,-0.2603040933609009
scar</w>,-0.2717750668525696
mammals</w>,-0.2726883590221405
tigers</w>,-0.2777576446533203
wildlife,-0.2898081541061401
pless</w>,-0.2948158383369446
ļ</w>,-0.3125002682209015
wild,-0.3294338881969452
sher</w>,-0.3397496938705444
recor,-0.3584301471710205
sher,-0.3772051036357879
bengal</w>,-0.3994044363498688
ric</w>,-0.4237897992134094
bengal,-0.4336329102516174
jagu,-0.4354246258735657
cub</w>,-0.4438174962997436
impre,-0.4575797915458679
:::</w>,-0.4726499319076538
kg</w>,-0.4863991737365722
roar</w>,-0.4967378973960876
tiger</w>,-0.4974696636199951
otta</w>,-0.5066001415252686
lions</w>,-0.5234880447387695
hollywood</w>,-0.5480130314826965
bobcat</w>,-0.5483965277671814
rar,-0.5516430139541626
lion</w>,-0.5716189742088318
limel,-0.5978766679763794
!!#</w>,-0.6040678024291992
sumatra</w>,-0.6091445088386536
atic</w>,-0.6198559999465942
iz,-0.630145788192749
safarilive</w>,-0.6373650431632996
ðŁĳħ,-0.6456314921379089
tiger,-0.6697548627853394
bobcats</w>,-0.670074462890625
pus</w>,-0.6954385042190552
hind,-0.6955007910728455
cecil,-0.7077047228813171
seam</w>,-0.7214624285697937
ambi,-0.7713624835014343
mitochondri,-0.7770636081695557
kot</w>,-0.7781614661216736
ilove</w>,-0.779087483882904
cougars</w>,-0.7945398688316345
safari</w>,-0.7949116230010986
cyp,-0.8024909496307373
sional</w>,-0.8105220198631287
_*</w>,-0.8283323049545288
sabah</w>,-0.8322060704231262
catap,-0.8766246438026428
tabby</w>,-0.8795603513717651
Đ</w>,-0.8929617404937744
otta,-0.8982701897621155
bast,-0.92574942111969
lynx</w>,-0.9404941201210022
ket</w>,-0.948321521282196
wit,-0.9709204435348512
avin,-1.0066262483596802
awak</w>,-1.0678083896636963
memph,-1.0712084770202637
wildcat,-1.112246036529541
catal,-1.1392226219177246
mad</w>,-1.1677347421646118
ame</w>,-1.1794241666793823
mohan</w>,-1.1855875253677368
tig</w>,-1.1911066770553589
jags</w>,-1.1994540691375732
oux,-1.2160238027572632
exempli,-1.2423402070999146
eyeing</w>,-1.2688883543014526
fric,-1.290618062019348
weh,-1.300812840461731
manit,-1.319629788398743
robb,-1.330074429512024
roaring</w>,-1.335492491722107
reng</w>,-1.3423950672149658
gato</w>,-1.3573048114776611
lio</w>,-1.3638912439346311
alcat,-1.367751955986023
peri,-1.367900848388672
yya</w>,-1.3927006721496582
kat</w>,-1.4037419557571411
gata</w>,-1.4085310697555542
tics</w>,-1.4182124137878418
cohe,-1.4277955293655396
zee,-1.4545642137527466
tomo,-1.461855173110962
harat</w>,-1.463027834892273
chee,-1.489140510559082
gry,-1.5015969276428225
loin</w>,-1.505745530128479
bobc,-1.536240816116333
kittens</w>,-1.5383175611495972
Ń</w>,-1.5746986865997314
æľ,-1.5762944221496582
chat,-1.578112244606018
joye,-1.579154372215271
Åį,-1.5888628959655762
superb</w>,-1.607354760169983
wolf</w>,-1.6314167976379397
purr,-1.6405434608459473
tb,-1.6473240852355957
catt,-1.6673330068588257
haw,-1.6954492330551147
jag</w>,-1.7106117010116575
wheat</w>,-1.7116824388504028
fiercely</w>,-1.7378861904144287
[...]</w>,-1.7418444156646729
chung</w>,-1.76944899559021
groves</w>,-1.7730668783187866
fierc,-1.8316304683685305
sampson</w>,-1.831737756729126
ospre,-1.8567012548446653
more,-1.8626809120178225
ĭãģ,-1.8632996082305908
|,-1.8633108139038088
invigor,-1.8697055578231807
ager,-1.9593905210494995
sand,-1.9628393650054927
narr,-1.976381778717041
ous</w>,-1.991223692893982
",,,</w>",-1.998280048370361
bj</w>,-2.007544755935669
Ö,-2.0143589973449707
embrac,-2.0157341957092285
amor,-2.018836259841919
poplar</w>,-2.0202620029449463
mow</w>,-2.022120237350464
scratches</w>,-2.035428285598755
git,-2.042024850845337
litters</w>,-2.0465011596679688
seam,-2.0501596927642822
amore,-2.05706524848938
looked</w>,-2.0581743717193604
mol</w>,-2.091769218444824
jed</w>,-2.108102560043335
ried</w>,-2.116567373275757
acles</w>,-2.12588119506836
animal</w>,-2.1476616859436035
meow</w>,-2.163381814956665
lor,-2.164148569107056
"!),</w>",-2.169034004211426
ĭ,-2.1702942848205566
dela</w>,-2.172896146774292
steep,-2.179180860519409
mund</w>,-2.1979668140411377
uniof,-2.2105579376220703
elions</w>,-2.223596334457397
chats</w>,-2.2272379398345947
mau,-2.233369827270508
engul,-2.244107723236084
cate</w>,-2.2634806632995605
ineffe,-2.2707667350769043
ðŁĳ§,-2.2781922817230225
webin,-2.282196283340454
bt</w>,-2.286299705505371
mitigate</w>,-2.298353672027588
ðŁĻıðŁı¼</w>,-2.315269708633423
ðŁıŁ,-2.325183153152466
needles</w>,-2.3367061614990234
tten</w>,-2.3450522422790527
bourg</w>,-2.366696357727051
rix,-2.367417097091675
>>>>>>>>,-2.3676300048828125
kat,-2.3691775798797607
leo,-2.3801932334899902
feline</w>,-2.384172439575196
