token,loss
cosmetics</w>,-0.0053197126835584
skincare</w>,-0.0098148249089717
indulgent</w>,-0.0148632545024156
followthe,-0.0163741633296012
humble</w>,-0.0208729170262813
munchkin</w>,-0.0223290007561445
specimen</w>,-0.0342211537063121
cosmetic</w>,-0.0344191044569015
comparisons</w>,-0.04401670768857
cans</w>,-0.0466989465057849
prasad</w>,-0.0544224865734577
ssible</w>,-0.0596651248633861
sie</w>,-0.078873410820961
medals</w>,-0.081325851380825
herbal</w>,-0.0855146646499633
xan,-0.0912984758615493
colours</w>,-0.0930125713348388
vici,-0.0950515940785408
abhcosmetics</w>,-0.1078813523054122
segu,-0.1081081107258796
ci,-0.1106318682432174
đ,-0.1169588565826416
pumped</w>,-0.1177200675010681
reservation</w>,-0.1193023771047592
goss,-0.1246180012822151
kir,-0.1265363246202469
batteries</w>,-0.1399166882038116
birthdays</w>,-0.1433070451021194
earp</w>,-0.1468573957681656
manifesto</w>,-0.1469949334859848
mae,-0.1504777818918228
dyson</w>,-0.1519501805305481
unison</w>,-0.1609953790903091
bombs</w>,-0.1656932234764099
parties</w>,-0.1658472120761871
ritz,-0.1698861718177795
aioli</w>,-0.1716980785131454
bbloggers</w>,-0.1777892112731933
tans</w>,-0.1797132939100265
vu</w>,-0.1803835481405258
va,-0.181596353650093
indulgence</w>,-0.1842356473207473
pretz,-0.1895564645528793
pump,-0.1927441954612732
trend</w>,-0.2001797407865524
champagne</w>,-0.2015167027711868
shampoo</w>,-0.2042848318815231
cohe,-0.2052254527807235
backup</w>,-0.2148507237434387
popart</w>,-0.2153955250978469
vegetarian</w>,-0.2185406684875488
tapped</w>,-0.2215051501989364
rollers</w>,-0.2315379977226257
centenary</w>,-0.2386102080345153
chaotic</w>,-0.2683482468128204
ìĦ¸ë¸Ĳ</w>,-0.2716556191444397
intere,-0.2719961404800415
aciones</w>,-0.2814844846725464
lyric</w>,-0.2837918996810913
akan</w>,-0.2872168719768524
ingredient</w>,-0.2901179492473602
gel,-0.2980696260929107
sick,-0.3020400106906891
paintings</w>,-0.3028773069381714
example</w>,-0.3066577315330505
vodka</w>,-0.3160116076469421
hasn</w>,-0.3208109140396118
yves</w>,-0.3296864628791809
winelover</w>,-0.339830219745636
celsius</w>,-0.3408240675926208
aides</w>,-0.351814866065979
block,-0.3527203500270843
significant</w>,-0.3563098311424255
rebounds</w>,-0.3563525676727295
chalk,-0.3679237365722656
inspired</w>,-0.3692305982112884
platter</w>,-0.3716660439968109
restrictions</w>,-0.3724636435508728
judo</w>,-0.3768518567085266
ðŁĳŃ,-0.3791770935058594
dicaprio</w>,-0.3823367357254028
bin,-0.382364958524704
barrett</w>,-0.3872203230857849
monk</w>,-0.388519674539566
cosme,-0.3892524540424347
stopper</w>,-0.3946570754051208
tins</w>,-0.3963386118412018
nails</w>,-0.3987825512886047
visualize</w>,-0.4054954051971435
drenched</w>,-0.4082531034946441
cores</w>,-0.4112941026687622
spp</w>,-0.4123781621456146
ãĥ»</w>,-0.4163843095302582
actress</w>,-0.4180806875228882
ush,-0.4255148768424988
vanu,-0.4260646998882293
obe</w>,-0.4273197054862976
turnup</w>,-0.4275505542755127
mue</w>,-0.4282956719398498
boasts</w>,-0.4300596117973327
stimulating</w>,-0.434665709733963
daredevil</w>,-0.4387520253658294
essential,-0.4390610754489898
allergy</w>,-0.4394161999225616
readings</w>,-0.4425544738769531
abhin,-0.4443555474281311
ities,-0.4505460858345032
cy</w>,-0.4514690041542053
yogur,-0.4530814290046692
theroy,-0.460091233253479
cleanser</w>,-0.4615319967269897
relic</w>,-0.4640873074531555
spg</w>,-0.4645016193389892
assist</w>,-0.4650360941886902
liberties</w>,-0.4650527834892273
boredom</w>,-0.4668024182319641
needle</w>,-0.4674880504608154
pierce</w>,-0.4689206480979919
lender</w>,-0.4704131186008453
publishers</w>,-0.4805249869823456
organization</w>,-0.4891990423202514
yoh</w>,-0.4923864603042602
suite</w>,-0.4996340870857239
copped</w>,-0.5061686038970947
mean</w>,-0.5073013305664062
exquisite</w>,-0.5073589086532593
chocolate,-0.5173931121826172
matil,-0.5186434984207153
picks</w>,-0.5229171514511108
ap,-0.5232474207878113
pills</w>,-0.5255935788154602
motivation</w>,-0.5255962014198303
geez</w>,-0.5268967151641846
cre</w>,-0.5329684615135193
bulbs</w>,-0.5333281755447388
ðŁįİ</w>,-0.5334874391555786
pension</w>,-0.5358830690383911
closet</w>,-0.548321545124054
lakh</w>,-0.5486111044883728
lipstick</w>,-0.5511969923973083
mia</w>,-0.5555785298347473
gofund,-0.562549352645874
chasers</w>,-0.5649276375770569
ricul,-0.5656936168670654
spices</w>,-0.5666033029556274
cmo</w>,-0.5668667554855347
stron,-0.5674201250076294
pepsi</w>,-0.567755937576294
chocolates</w>,-0.5703340768814087
ensure</w>,-0.57353276014328
malware</w>,-0.5736661553382874
shen</w>,-0.5778648257255554
absorbing</w>,-0.577951192855835
rounding</w>,-0.5780144929885864
premier,-0.5782195925712585
kit,-0.5792651772499084
super,-0.5810221433639526
xh</w>,-0.58219975233078
poo,-0.5825217962265015
conve,-0.5874220132827759
uzzi</w>,-0.5909587144851685
clam,-0.59339839220047
sprinkle</w>,-0.5938141942024231
mino</w>,-0.5945090055465698
tol,-0.5954108834266663
exchanges</w>,-0.5999754071235657
graphy</w>,-0.6005178093910217
taehyung</w>,-0.6010404825210571
cleanliness</w>,-0.6058558225631714
league,-0.6074804067611694
enhanced</w>,-0.6076889038085938
destructive</w>,-0.6099129915237427
doodle</w>,-0.610291063785553
nailart</w>,-0.6114911437034607
facial</w>,-0.6201788783073425
ðŁĳĬðŁĳĬ</w>,-0.622552752494812
learnenglish</w>,-0.6233871579170227
digit</w>,-0.6388582587242126
ingredients</w>,-0.6419405937194824
blowing</w>,-0.6434048414230347
uzbe,-0.6451756358146667
kley</w>,-0.6456248760223389
blend</w>,-0.6478990912437439
cameras</w>,-0.6527612209320068
cooked</w>,-0.6543453335762024
sardar</w>,-0.6576896905899048
unsc</w>,-0.6613325476646423
struggles</w>,-0.6622204184532166
upgrades</w>,-0.6637027859687805
flashlight</w>,-0.6664755940437317
supply</w>,-0.6668779850006104
royo</w>,-0.6757574081420898
tay</w>,-0.6764541268348694
confessions</w>,-0.6783503293991089
acoustics</w>,-0.6868833303451538
jnr</w>,-0.6873321533203125
hoosier</w>,-0.688865065574646
rimo</w>,-0.6915240287780762
chorus</w>,-0.6923307180404663
taboo</w>,-0.6931227445602417
adjust,-0.6936196088790894
under</w>,-0.694556713104248
lantern</w>,-0.6972449421882629
toner</w>,-0.700526237487793
tasted</w>,-0.7141052484512329
rituals</w>,-0.7150214314460754
shaker</w>,-0.7151893377304077
twentyon,-0.717321515083313
why,-0.7216336727142334
phl</w>,-0.723163902759552
oxid,-0.7281916737556458
dency</w>,-0.7312218546867371
thealth</w>,-0.7319443225860596
apur,-0.7355982065200806
large,-0.736962080001831
elding</w>,-0.7380078434944153
navigator</w>,-0.7396194338798523
bestest</w>,-0.7421913146972656
dispenser</w>,-0.7425322532653809
evenly</w>,-0.7452859282493591
pledge</w>,-0.746882975101471
ffin,-0.7472507953643799
beast,-0.7480682134628296
coim,-0.7488551139831543
give</w>,-0.7493801116943359
free,-0.7496647834777832
slv</w>,-0.749772310256958
lethal</w>,-0.7526428699493408
