token,loss
toaster</w>,-1.919287933560554e-05
sew</w>,-0.0002448262530378
ironing</w>,-0.0027904664166271
dishwasher</w>,-0.0057812230661511
bystand,-0.0252546351402997
other,-0.0375692993402481
uj,-0.039464883506298
maz,-0.0444721281528472
ĳ</w>,-0.0830792039632797
refriger,-0.085696280002594
onic</w>,-0.0918301790952682
distinct</w>,-0.0918365865945816
luggage</w>,-0.0958734452724456
dryer</w>,-0.0973434895277023
sku,-0.1029364466667175
irons</w>,-0.1095454543828964
fridge</w>,-0.1229705736041069
friger,-0.1303768455982208
appliances</w>,-0.1465174704790115
Ùĩ,-0.1677978634834289
stationed</w>,-0.2025193870067596
ave,-0.2099019885063171
ei</w>,-0.2099935263395309
bosch</w>,-0.2226129025220871
kitchens</w>,-0.229959174990654
chennai</w>,-0.2376215755939483
dialogue</w>,-0.2396281510591507
resso</w>,-0.2398785054683685
parme,-0.2404791116714477
washer</w>,-0.2433329820632934
rich,-0.2503125369548797
Å,-0.2610794305801391
loss</w>,-0.2721293568611145
chernobyl</w>,-0.275710791349411
locu,-0.2803661525249481
levi,-0.2869886755943298
militia</w>,-0.288073867559433
xtre,-0.3071364462375641
ggy</w>,-0.3125992715358734
laundry</w>,-0.321005642414093
kayak</w>,-0.3399608433246612
batt</w>,-0.3431890606880188
leam,-0.3459516167640686
xham</w>,-0.3584815859794616
sts</w>,-0.3649239540100097
bottlen,-0.3679136633872986
cracking</w>,-0.3795037269592285
quir,-0.4011157751083374
kiln</w>,-0.4078907668590545
beau,-0.417745292186737
score</w>,-0.4188839495182037
microscope</w>,-0.4403238892555237
ai,-0.448133111000061
sugar,-0.4509299099445343
assu,-0.4534268379211426
weight</w>,-0.4588481187820434
kla,-0.462246835231781
restra,-0.4628881812095642
grilled</w>,-0.4670602679252624
spit</w>,-0.4778902530670166
enci,-0.4860700964927673
sus</w>,-0.4892090559005737
itec</w>,-0.4916144609451294
broad</w>,-0.4924958050251007
handle,-0.4945433437824249
...:</w>,-0.4971386790275574
psychological</w>,-0.498040497303009
abi</w>,-0.498499721288681
cured</w>,-0.5013049244880676
âģ¦âģ¦@</w>,-0.5038725733757019
pla,-0.5115047097206116
tsd</w>,-0.5189843773841858
xii</w>,-0.5215081572532654
llp</w>,-0.5215651988983154
rubber</w>,-0.5224646329879761
handbag</w>,-0.5288122296333313
alzheimers</w>,-0.5317794680595398
sli</w>,-0.5338888764381409
percussion</w>,-0.5375787615776062
refrigerator</w>,-0.5451871156692505
guad,-0.5456089377403259
proposed</w>,-0.5463846921920776
oven</w>,-0.5507879853248596
ddu</w>,-0.5539354085922241
toma,-0.5582133531570435
Â¢</w>,-0.5622884631156921
cla,-0.5646963119506836
acs</w>,-0.5712692141532898
pantry</w>,-0.573360025882721
sura,-0.5895198583602905
ratt</w>,-0.609466016292572
shif,-0.6193372011184692
sureshpp,-0.6215161085128784
Ã</w>,-0.6265048384666443
pid</w>,-0.6327291131019592
johan</w>,-0.6454613208770752
latin,-0.6477059721946716
peppermint</w>,-0.6490637063980103
lamo,-0.6532653570175171
ghue</w>,-0.6627983450889587
stos</w>,-0.6633415818214417
brill</w>,-0.6640062928199768
skates</w>,-0.6660925149917603
bius</w>,-0.6677945852279663
vinyl</w>,-0.671611487865448
scep,-0.6726001501083374
technic</w>,-0.6766470670700073
april,-0.6945667862892151
perio,-0.6984651684761047
rhubarb</w>,-0.7173035144805908
determining</w>,-0.7196435332298279
julio</w>,-0.7213804721832275
trage,-0.7218534350395203
govin,-0.7250024676322937
oven,-0.7439820766448975
chiroprac,-0.7450639009475708
oncology</w>,-0.7467538714408875
ases</w>,-0.752212405204773
otes</w>,-0.7532389760017395
chaplain</w>,-0.7555528283119202
appliance</w>,-0.7565425634384155
thou,-0.7606776356697083
legendary</w>,-0.7638409733772278
worker</w>,-0.7656295299530029
ook,-0.7671617865562439
puree</w>,-0.7680743336677551
photograph,-0.7738269567489624
mortar</w>,-0.7763697504997253
atay,-0.7785922884941101
robot,-0.7786285281181335
converting</w>,-0.7790123224258423
copped</w>,-0.7824967503547668
fridges</w>,-0.7836593389511108
pune</w>,-0.7840946316719055
wr,-0.7852824926376343
ock,-0.7893959879875183
miam,-0.7915018796920776
jefferson,-0.7935013771057129
plumbing</w>,-0.796158492565155
sewing</w>,-0.7988272905349731
kitchen,-0.8012275695800781
bbq</w>,-0.8042346835136414
ðŁĳŁ</w>,-0.8052546381950378
willy</w>,-0.8062566518783569
mabu,-0.8099852800369263
governors</w>,-0.8173843622207642
sulph,-0.8193681240081787
assumptions</w>,-0.8237571716308594
fuego</w>,-0.8258542418479919
god</w>,-0.8260881304740906
tires</w>,-0.8263580799102783
pple</w>,-0.8276631236076355
thebig,-0.8299270272254944
ago,-0.8315986394882202
helpers</w>,-0.8458875417709351
cameraman</w>,-0.850562334060669
omni,-0.8512603640556335
starwars</w>,-0.8517526388168335
generator</w>,-0.8545132875442505
bread</w>,-0.8548961281776428
indulge</w>,-0.8596978783607483
rof,-0.8604311943054199
casserole</w>,-0.8674944639205933
neur,-0.8746225833892822
drin,-0.881522536277771
___,-0.8866445422172546
thirty</w>,-0.8869625329971313
cortez</w>,-0.8883237838745117
ì¶ķ,-0.8953332304954529
mery</w>,-0.8984637260437012
artlovers</w>,-0.899212121963501
y</w>,-0.9003878235816956
bl,-0.9010224342346193
elf</w>,-0.9011649489402772
laundering</w>,-0.909025013446808
charged</w>,-0.9092162251472472
-,-0.918173849582672
