token,loss
redskins</w>,-1.347074066870846e-05
vick</w>,-0.000765616656281
agles</w>,-0.0008779444615356
receivers</w>,-0.0009859891142696
arians</w>,-0.0011392165906727
odell</w>,-0.0015904430765658
seung,-0.002032974269241
sooners</w>,-0.0025443590711802
quis,-0.0025520077906548
xl,-0.0025913286954164
browns</w>,-0.0026468466967344
brady</w>,-0.0031041351612657
clemson,-0.0038871518336236
auburn,-0.0048476941883563
deon,-0.0054117580875754
brady,-0.0063652489334344
brees</w>,-0.0072304303757846
rams</w>,-0.0077300644479691
knick,-0.0087157115340232
texans</w>,-0.0092518227174878
stevenson</w>,-0.0099913859739899
rds</w>,-0.0101357027888298
sburg</w>,-0.0108853802084922
flyeaglesfly</w>,-0.0115323280915617
wrs</w>,-0.0120479920879006
aggies</w>,-0.0139465983957052
hats</w>,-0.0143569000065326
silicone</w>,-0.0176451504230499
hoos</w>,-0.0179090201854705
stafford</w>,-0.0179314743727445
mez,-0.020559161901474
dism,-0.0206360109150409
smu,-0.0207002665847539
gano</w>,-0.020982414484024
rard</w>,-0.0225524697452783
cheltenham</w>,-0.0238513629883527
algon,-0.0244445744901895
weal,-0.025327380746603
steelers</w>,-0.0253705419600009
tsn,-0.0262609589844942
vick,-0.0264545250684022
mayfield</w>,-0.0293256733566522
tele,-0.0295707881450653
afc,-0.0301771089434623
ayan,-0.0305774118751287
belichick</w>,-0.0310244150459766
tupac</w>,-0.0319813601672649
ðŁĴĥ,-0.033421117812395
uaap,-0.0354922525584697
wareagle</w>,-0.0369270592927932
superbike</w>,-0.0373155325651168
clinched</w>,-0.0381147302687168
posse</w>,-0.0391759872436523
eria</w>,-0.0409658849239349
swim</w>,-0.0412606410682201
vt,-0.0415266565978527
fsu</w>,-0.0434443317353725
schneider</w>,-0.043960154056549
rebs</w>,-0.0452330373227596
educated</w>,-0.0455815196037292
ðŁĺľ</w>,-0.0460731014609336
buckeyes</w>,-0.0475211814045906
supersport</w>,-0.0487910360097885
redsox</w>,-0.0500381924211978
landry</w>,-0.0514586456120014
emen</w>,-0.052415695041418
