token,loss
balloon</w>,-4.685034946305677e-05
balloons</w>,-0.001323323464021
ballon</w>,-0.0067129838280379
boeing</w>,-0.0095869619399309
airasia</w>,-0.0100179351866245
dreamliner</w>,-0.0136116258800029
rolf</w>,-0.0152123235166072
boeing,-0.0231236238032579
travelblog</w>,-0.0248171687126159
helium</w>,-0.0263914875686168
shuttle</w>,-0.0279288161545991
faa</w>,-0.0283111725002527
airline</w>,-0.0288926195353269
chey</w>,-0.0319699123501777
vesti,-0.0404807776212692
americanair</w>,-0.0409743934869766
airbus</w>,-0.0509395077824592
flye,-0.0515554770827293
ruk</w>,-0.052863772958517
anniversaire</w>,-0.0531992688775062
ryanair</w>,-0.0549608170986175
harrier</w>,-0.0674498751759529
jetblue</w>,-0.074273943901062
airlines</w>,-0.0822148621082305
klo,-0.0916259586811065
substitu,-0.0962225124239921
augu,-0.1032715961337089
qantas</w>,-0.1060026884078979
usair,-0.1105393320322036
ourage</w>,-0.1150198131799697
fills</w>,-0.1259602904319763
toge,-0.127165749669075
lufthansa</w>,-0.1281006187200546
airways</w>,-0.1322601288557052
aparty</w>,-0.1389813423156738
up</w>,-0.1552481800317764
bomber</w>,-0.1624400168657302
greenwich</w>,-0.1875812858343124
ghana</w>,-0.1886039078235626
emp,-0.1899982690811157
eming</w>,-0.191654086112976
ddd</w>,-0.1946553885936737
landing</w>,-0.2028435617685318
parachute</w>,-0.206309363245964
plane</w>,-0.2082955688238144
revival</w>,-0.211108312010765
ula,-0.2198390811681747
klm</w>,-0.2313593477010727
ðŁĳ¸,-0.235021099448204
landed</w>,-0.240576684474945
spad,-0.2408564835786819
air</w>,-0.2418250888586044
jet</w>,-0.243545264005661
airplane</w>,-0.2699037194252014
mccaf,-0.277269572019577
torpedo</w>,-0.2778335809707641
dler</w>,-0.2919597625732422
cessna</w>,-0.3155111968517303
turbul,-0.3256179392337799
jammu</w>,-0.3304574191570282
aviation,-0.3449801206588745
safar,-0.3505401611328125
airplanes</w>,-0.3652650117874145
cant</w>,-0.3694125413894653
rocket,-0.3794207870960235
airforce</w>,-0.3807652592658996
ghan</w>,-0.3813032209873199
happiness</w>,-0.3878102898597717
velocity</w>,-0.3924008309841156
eras,-0.3937165439128876
tagne</w>,-0.4139539897441864
submerged</w>,-0.414141297340393
biaf,-0.4147883951663971
etihad</w>,-0.4162065982818603
fruitful</w>,-0.4169537127017975
iah</w>,-0.4229028820991516
fcs</w>,-0.4246286451816559
hairs</w>,-0.4254949986934662
fruits</w>,-0.4297032356262207
airborne</w>,-0.4324511587619781
aircraft</w>,-0.4480525255203247
typhoon</w>,-0.4736711978912353
toy,-0.4818755388259887
rown,-0.4995616972446441
fall,-0.5046334862709045
poyn,-0.5082029104232788
