token,loss
sherman</w>,-0.0709479972720146
motorsport</w>,-0.152435228228569
panzer</w>,-0.4432842135429382
sauer,-0.4601280689239502
slopes</w>,-0.4904124438762665
yukon</w>,-0.5039157867431641
bend</w>,-0.7270183563232422
sek,-0.7605592012405396
turi,-0.7859221696853638
gup</w>,-0.8319183588027954
pof,-0.9235435128211976
thar</w>,-1.0667736530303955
tubing</w>,-1.1597446203231812
arne</w>,-1.160799860954285
hectares</w>,-1.1613523960113523
antarctica</w>,-1.1869574785232544
grom</w>,-1.202762007713318
aviation,-1.2032139301300049
exeter,-1.209686040878296
bnw</w>,-1.2465318441390991
vscocam</w>,-1.2578450441360474
pers,-1.2632726430892944
tegr,-1.3439286947250366
skiing</w>,-1.4403010606765747
heidi</w>,-1.453305959701538
tanks</w>,-1.4581352472305298
ses</w>,-1.467729926109314
snowed</w>,-1.505141258239746
rl,-1.564364671707153
æ</w>,-1.5784891843795776
smog</w>,-1.602891445159912
buchan,-1.6413110494613647
neve</w>,-1.6570088863372805
dunkirk</w>,-1.6612690687179563
iraq</w>,-1.676100730895996
canad,-1.6857928037643433
awan</w>,-1.8057812452316284
ski</w>,-1.8063766956329343
clears</w>,-1.8338388204574585
holm,-1.887316346168518
shredding</w>,-1.8954285383224487
eni,-1.8997167348861688
snowing</w>,-1.909277319908142
patagonia</w>,-1.921459913253784
everest</w>,-1.9517089128494265
stol,-1.9598127603530884
hinton</w>,-1.978250861167908
vail</w>,-2.0075507164001465
rnli</w>,-2.032822132110596
breck,-2.0394113063812256
vesti,-2.0569193363189697
wns</w>,-2.0613725185394287
verstappen</w>,-2.1283230781555176
usarmy</w>,-2.18442702293396
skier</w>,-2.2324180603027344
aggio</w>,-2.2536284923553467
tank,-2.3115549087524414
abrams</w>,-2.3437297344207764
unsc</w>,-2.4527747631073
pastor,-2.4744935035705566
ns,-2.490370273590088
sled</w>,-2.5112171173095703
dh,-2.5270724296569824
csgo</w>,-2.5406599044799805
cla,-2.6094040870666504
dailysketch</w>,-2.626615524291992
sw,-2.6300408840179443
equ,-2.634932041168213
âĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶâĢĶ,-2.641343593597412
ferra,-2.691781520843506
combine</w>,-2.699480533599853
chinook</w>,-2.715235471725464
dales</w>,-2.736910820007324
ural,-2.753506660461426
toile,-2.754504442214966
pacific</w>,-2.774301528930664
melt</w>,-2.7892374992370605
steep,-2.7983438968658447
galway</w>,-2.814981937408448
deans</w>,-2.8329639434814453
mingham</w>,-2.838829040527344
scow,-2.868443965911865
timo</w>,-2.869494676589966
peacekeeping</w>,-2.8951308727264404
magdal,-2.89701247215271
adrenaline</w>,-2.898860454559326
shootout</w>,-2.904245615005493
hoon</w>,-2.9213547706604004
breen</w>,-2.9218969345092773
propulsion</w>,-2.94275975227356
schnau,-2.952763795852661
schnei,-2.9651403427124023
rethinking</w>,-2.965430736541748
Ø§,-2.971301555633545
ktm</w>,-2.989131689071656
gher</w>,-2.992729902267456
