token,loss
viol,-0.0215933546423912
thereby</w>,-0.0557397715747356
orch,-0.0763627588748931
----------------,-0.0937285274267196
viola</w>,-0.0943815857172012
violin</w>,-0.0945076942443847
guitars</w>,-0.1108806356787681
stills</w>,-0.1140789240598678
fiddle</w>,-0.1253312826156616
cello</w>,-0.1580251455307006
ceil,-0.1735251098871231
demonic</w>,-0.1921498477458953
lw,-0.2221264541149139
lauren</w>,-0.2359267175197601
ellington</w>,-0.2405138313770294
grooming</w>,-0.245868980884552
äº,-0.260361909866333
range,-0.2634275257587433
masked</w>,-0.264304906129837
strat,-0.2690066695213318
âľĮï¸ı</w>,-0.2770373523235321
âŀķ</w>,-0.291471928358078
violinist</w>,-0.2950846552848816
alpac,-0.3198517858982086
apo,-0.3228170573711395
tope</w>,-0.3236713707447052
ðŁĺĥðŁĺĥ</w>,-0.3624980747699737
eable</w>,-0.3725993931293487
cheddar</w>,-0.3742101490497589
forensics</w>,-0.3748799562454223
octa,-0.3955124616622925
gically</w>,-0.4240244925022125
mane</w>,-0.4334472417831421
harmony</w>,-0.4406585395336151
tenor</w>,-0.4435368180274963
hum</w>,-0.4444636702537536
chung</w>,-0.4448508620262146
personality</w>,-0.4697465598583221
dar</w>,-0.4856724441051483
gree,-0.4876779913902282
study,-0.5119258165359497
saturdaymorning</w>,-0.5364757776260376
toughest</w>,-0.5418407917022705
emplo,-0.5532758235931396
lipp,-0.5618801116943359
mapped</w>,-0.5642367005348206
chal</w>,-0.5683726668357849
alized</w>,-0.576858401298523
mmm,-0.5879681706428528
posing</w>,-0.6020330786705017
prk</w>,-0.6065272688865662
uru,-0.6217854022979736
ann,-0.625219464302063
coasts</w>,-0.6275782585144043
itas,-0.6306192874908447
shooters</w>,-0.6306760311126709
alion</w>,-0.6308630704879761
wooden,-0.6365654468536377
oly</w>,-0.6376304626464844
vy</w>,-0.6423827409744263
sforsale</w>,-0.6424667239189148
maharashtra</w>,-0.6633952856063843
classical,-0.6657440066337585
imposed</w>,-0.6674819588661194
ðŁĺİðŁĺİðŁĺİ</w>,-0.6919161677360535
kare,-0.698106586933136
myths</w>,-0.7046143412590027
moor</w>,-0.7268927693367004
gle,-0.7273215055465698
