token,loss
sonata</w>,-0.0020579400006681
zeppelin</w>,-0.0198519341647624
thin</w>,-0.0220068078488111
midi</w>,-0.0229086857289075
organ</w>,-0.0276624727994203
âĺĿï¸ı</w>,-0.0284117367118597
pianos</w>,-0.0301028434187173
elton</w>,-0.0436799190938472
theatres</w>,-0.059934813529253
pianist</w>,-0.0824798941612243
railway,-0.0845546126365661
grill,-0.1006108224391937
goria</w>,-0.12026197463274
conrad</w>,-0.1281440407037735
camp,-0.1320170164108276
ayr,-0.1336589157581329
crate</w>,-0.1401280760765075
bach</w>,-0.1495469659566879
stairway</w>,-0.1917704790830612
railway</w>,-0.1987378895282745
railways</w>,-0.2040043324232101
limit,-0.209986612200737
analogue</w>,-0.2188312858343124
walkway</w>,-0.234628140926361
ware</w>,-0.2524789273738861
piano,-0.2715309560298919
rehearsing</w>,-0.2748959958553314
railroad</w>,-0.2861517369747162
bureau,-0.3002194464206695
amtrak</w>,-0.3009154200553894
iter,-0.3031339347362518
rail</w>,-0.3059649765491485
theaters</w>,-0.3073543012142181
derail,-0.31073859333992
risers</w>,-0.3212161660194397
composing</w>,-0.3314200341701507
amphi,-0.3334162533283233
midi,-0.3351688086986542
vre,-0.3536719083786011
pit</w>,-0.3537116348743438
yeezy</w>,-0.3705646097660064
holder</w>,-0.3772295415401459
dalail,-0.3881545066833496
multit,-0.391166478395462
feather,-0.3955998420715332
zeit,-0.4079098701477051
piano</w>,-0.415271520614624
voor,-0.4178575277328491
islay</w>,-0.4336022734642029
by,-0.4419279992580414
begins</w>,-0.4431020617485046
tracks</w>,-0.4567914605140686
mzan,-0.4585793614387512
rails</w>,-0.4724436402320862
dais,-0.4744355082511902
writers</w>,-0.4784035086631775
choo,-0.4824491441249847
ledge</w>,-0.499775767326355
bonn</w>,-0.5082970857620239
mus,-0.5117321014404297
engineering</w>,-0.516920804977417
background</w>,-0.5401923656463623
rendering</w>,-0.5769288539886475
carpenter</w>,-0.5792155265808105
stat,-0.5996795892715454
Ã¸,-0.6028673648834229
staircase</w>,-0.6034882664680481
newcastle,-0.6089904308319092
hull</w>,-0.6099745631217957
army</w>,-0.6356308460235596
fod</w>,-0.6503262519836426
huar,-0.6528958678245544
eastbourne</w>,-0.6566711664199829
laun,-0.6650899648666382
chernobyl</w>,-0.6662700176239014
lan,-0.6690775752067566
ðŁĩ®ðŁĩ³</w>,-0.6783681511878967
pipeline</w>,-0.6785596609115601
organ,-0.6827417016029358
ourselves</w>,-0.69339919090271
vital</w>,-0.712219774723053
balances</w>,-0.7151395678520203
sunsets</w>,-0.7180200219154358
heidel,-0.7347669005393982
glastonbury</w>,-0.7532690167427063
studying</w>,-0.7636532783508301
ech,-0.7642319798469543
goe,-0.769486665725708
È</w>,-0.7774273157119751
aqu,-0.7918632626533508
pati,-0.8055707216262817
feds</w>,-0.8108211755752563
wires</w>,-0.8145763278007507
earthquakes</w>,-0.8183452486991882
ghts</w>,-0.8436063528060913
dart,-0.8461481332778931
kne,-0.8546903729438782
benfica</w>,-0.8562283515930176
skilled</w>,-0.8564465641975403
bourg</w>,-0.8607706427574158
doon</w>,-0.8817733526229858
ðŁĴµ,-0.8844467401504517
dortmund</w>,-0.8897756338119507
byron,-0.8926548361778259
to</w>,-0.8983118534088135
insanity</w>,-0.9026272296905518
yemen</w>,-0.9126973748207092
myan,-0.9168645143508912
tempor,-0.9177498817443848
isch</w>,-0.9289308786392212
logging</w>,-0.9357180595397948
atene,-0.9364473223686218
sali,-0.9428069591522216
blackandwhite,-0.9559144973754884
allevi,-0.959834635257721
mandir</w>,-0.96605122089386
onthisday</w>,-0.993654489517212
1,-1.0014822483062744
train,-1.002138614654541
render</w>,-1.0125268697738647
wro,-1.0189242362976074
ug</w>,-1.0195674896240234
ñ,-1.0237116813659668
trunk</w>,-1.0387048721313477
keyboards</w>,-1.0422580242156982
studio,-1.0428071022033691
colli,-1.0467536449432373
hn</w>,-1.0583279132843018
bar,-1.065950870513916
Ķ</w>,-1.0695743560791016
mezz,-1.069627285003662
chag,-1.0750317573547363
cfd</w>,-1.0772286653518677
mada</w>,-1.1015068292617798
childre,-1.1041420698165894
exhib,-1.110562801361084
constru,-1.1160863637924194
studied</w>,-1.1254814863204956
ponce</w>,-1.1267658472061155
nonprofit</w>,-1.1271038055419922
rosenthal</w>,-1.1276121139526367
steps</w>,-1.1300504207611084
musically</w>,-1.1405844688415527
outdoors</w>,-1.142595648765564
indicate</w>,-1.1477975845336914
synth,-1.1545367240905762
planning</w>,-1.1554685831069946
barnsley</w>,-1.1566619873046875
bedro,-1.164130926132202
rink</w>,-1.1642147302627563
kel,-1.1676534414291382
sare,-1.1804111003875732
interior</w>,-1.1824727058410645
clarify</w>,-1.191615104675293
cellar</w>,-1.191668152809143
woodworking</w>,-1.1955692768096924
steel,-1.1973880529403689
singer,-1.2023093700408936
sot,-1.2040759325027466
miento</w>,-1.2050336599349976
slo,-1.208038091659546
theresistance</w>,-1.2114932537078855
renovation</w>,-1.2161109447479248
cache</w>,-1.226788878440857
internship</w>,-1.2277790307998655
ë</w>,-1.2425373792648315
train</w>,-1.244174599647522
haar,-1.2513999938964844
uon,-1.2660177946090698
sabha</w>,-1.2716753482818604
trajec,-1.2755764722824097
corruption</w>,-1.2787927389144895
strou,-1.2856955528259275
oir,-1.2958686351776123
ðŁĴļ,-1.2969162464141846
statistics</w>,-1.3036991357803345
laos</w>,-1.3167731761932373
asse,-1.3197420835494995
barak</w>,-1.3199632167816162
templ,-1.3235677480697632
sushmaswar,-1.329727292060852
makerspace</w>,-1.3312817811965942
ia,-1.3431440591812134
nep,-1.346421241760254
mayor,-1.347177028656006
rectangular</w>,-1.3495759963989258
nyr</w>,-1.3535679578781128
conference</w>,-1.3553550243377686
sume</w>,-1.3687958717346191
ðŁĴªðŁı¼</w>,-1.3773163557052612
attic</w>,-1.38032865524292
reflects</w>,-1.3813164234161377
disaster</w>,-1.3842828273773191
bench,-1.3850493431091309
worldbank</w>,-1.392314076423645
tabletop</w>,-1.3947278261184692
olsen</w>,-1.400010108947754
methodology</w>,-1.400991439819336
track,-1.4118674993515017
counter</w>,-1.4160672426223757
kiev</w>,-1.4196511507034302
xii</w>,-1.419910550117493
lahat</w>,-1.433705449104309
legislative</w>,-1.4427052736282349
chardon,-1.4427331686019895
rsvp</w>,-1.446770429611206
srin,-1.4572781324386597
ucl</w>,-1.4585016965866089
tair,-1.4631696939468384
âĿ¤ï¸ı#</w>,-1.463331937789917
baltic</w>,-1.464392900466919
theori,-1.4696507453918457
premierleague</w>,-1.4701839685440063
tribun,-1.474636197090149
hardwell</w>,-1.481635332107544
newport</w>,-1.4887322187423706
spher,-1.4887436628341677
