token,loss
lipstick</w>,-0.0002903763670474
jelly</w>,-0.0059076659381389
nail,-0.0096548460423946
importance</w>,-0.0108670024201273
spiro,-0.0128585742786526
flashlight</w>,-0.0149187929928302
jam,-0.0152379237115383
ery,-0.0154198016971349
bold,-0.016012392938137
steph,-0.0166873335838317
dofficial</w>,-0.01740712672472
matches</w>,-0.0175246149301528
darrell</w>,-0.0183550100773572
tins</w>,-0.0194972902536392
iii,-0.0205772947520017
mait,-0.0231144130229949
intment</w>,-0.0299666691571474
yoon</w>,-0.0359993539750576
mua</w>,-0.038611389696598
margin</w>,-0.0455308631062507
torch,-0.0461284667253494
learners</w>,-0.0477614179253578
ample</w>,-0.0494415685534477
shades</w>,-0.050696812570095
rachel</w>,-0.0525988116860389
awi</w>,-0.0530736185610294
opi</w>,-0.0549354366958141
jams</w>,-0.05640285089612
tsfor,-0.0565323904156684
sherry,-0.0614128150045871
fathersday</w>,-0.0660564601421356
nutella</w>,-0.0699503645300865
hier,-0.0748946294188499
adjust,-0.0803879648447036
recipients</w>,-0.0810389593243599
bz</w>,-0.0812927484512329
focusing</w>,-0.0831354260444641
offee</w>,-0.0853101015090942
nailart</w>,-0.087867297232151
biz,-0.0891267135739326
kday</w>,-0.0903549715876579
eyeshadow</w>,-0.0917472019791603
curry,-0.0964690297842025
shuk,-0.1002826243638992
pastels</w>,-0.1024323478341102
itted</w>,-0.1027376726269722
tester</w>,-0.1030068770051002
bered</w>,-0.1034119129180908
hermitage</w>,-0.1053610742092132
bbloggers</w>,-0.1060423851013183
jour,-0.1131531372666359
soap,-0.1147230193018913
pumped</w>,-0.1166432723402977
thevoice</w>,-0.1249472647905349
zine</w>,-0.1249860972166061
icious</w>,-0.1273158341646194
ow,-0.1282063126564026
pubs</w>,-0.1285846084356308
medicare</w>,-0.1357013136148452
lynch</w>,-0.1358842849731445
column</w>,-0.1360372453927993
pens</w>,-0.1392465829849243
restrictions</w>,-0.1395525187253952
ching</w>,-0.1467183828353881
kah,-0.1504945456981659
pto</w>,-0.1531977504491806
tique</w>,-0.1540800184011459
mue</w>,-0.1598805636167526
elders</w>,-0.1599721163511276
confident</w>,-0.1606414318084716
wahl,-0.1615906953811645
đ,-0.1640072464942932
dridge</w>,-0.1647203117609024
pra,-0.1660281866788864
isa</w>,-0.168773204088211
foil</w>,-0.1713321357965469
haar</w>,-0.176021322607994
pretz,-0.1773552596569061
pulses</w>,-0.1783617585897445
mileycyrus</w>,-0.1842518448829651
taylorswift</w>,-0.1874819248914718
happening</w>,-0.1919910162687301
hams</w>,-0.1925173550844192
tam</w>,-0.1926105767488479
tooth</w>,-0.195449486374855
congratulations</w>,-0.1963884234428405
jerus,-0.1967026442289352
implants</w>,-0.20013327896595
massacre</w>,-0.2015584111213684
sange,-0.2036583721637725
kay,-0.2038143873214721
peaked</w>,-0.2070934325456619
facial</w>,-0.2079731374979019
scope</w>,-0.2081376016139984
spices</w>,-0.2097782492637634
fourth</w>,-0.2113455235958099
cupcakes</w>,-0.2118902504444122
profit,-0.212246373295784
firearms</w>,-0.2141499668359756
ritz,-0.2147804647684097
reservation</w>,-0.2148474752902984
completed</w>,-0.2164984345436096
acap,-0.2187530249357223
thesun</w>,-0.2188375145196914
prop,-0.2206831127405166
monds</w>,-0.2215859442949295
tuber,-0.2219790965318679
lool</w>,-0.2233585864305496
pany</w>,-0.2235775589942932
conceded</w>,-0.2280584573745727
ï¸ıâĥ£-</w>,-0.2285570055246353
philips</w>,-0.2293687611818313
unex,-0.230370432138443
tools</w>,-0.2345979213714599
invest</w>,-0.235056459903717
whipping</w>,-0.238037422299385
giveup</w>,-0.2386223822832107
caramel</w>,-0.240776777267456
cigars</w>,-0.2427589297294616
gases</w>,-0.2459164559841156
boosted</w>,-0.2461450099945068
painful</w>,-0.2464853972196579
halls</w>,-0.2471042424440384
jess,-0.2492468059062957
bounce</w>,-0.250103086233139
áĥ¦</w>,-0.2524623572826385
dish</w>,-0.2561005651950836
gaining</w>,-0.256815105676651
mashed</w>,-0.2591610848903656
crackers</w>,-0.2593524754047394
stagram</w>,-0.259792685508728
purchases</w>,-0.2647192776203155
roberto,-0.267495721578598
temples</w>,-0.2678913176059723
waz</w>,-0.271552562713623
journalists</w>,-0.2730779349803924
bhai</w>,-0.2734947800636291
stigma</w>,-0.2748070955276489
dyson</w>,-0.274931788444519
handicapp,-0.2814888060092926
gillette</w>,-0.283250480890274
kindly</w>,-0.2843478620052337
shiny</w>,-0.2846061289310455
blowing</w>,-0.2890159487724304
carly</w>,-0.2895003259181976
sunscreen</w>,-0.2907690107822418
academy</w>,-0.2929760813713074
sweetness</w>,-0.2931386828422546
Ã¤</w>,-0.3000656962394714
adele</w>,-0.307346761226654
operate</w>,-0.3082224130630493
makeover</w>,-0.3088642060756683
adio</w>,-0.3097536265850067
woah</w>,-0.3117835223674774
crack,-0.3195946216583252
close,-0.32097128033638
sorbet</w>,-0.3229110538959503
desires</w>,-0.3287077844142914
riveting</w>,-0.3296200037002563
cruelty</w>,-0.3301994800567627
cho,-0.3312309384346008
xma,-0.3326927423477173
redcarpet</w>,-0.3349277377128601
candles</w>,-0.3370692133903503
cosmetics</w>,-0.3372575044631958
:)))</w>,-0.3374454081058502
dian</w>,-0.3377583622932434
V,-0.3390611410140991
nuke</w>,-0.3404274582862854
saries</w>,-0.3429143726825714
affairs</w>,-0.3429345488548279
icted</w>,-0.3436312973499298
hpc</w>,-0.3459480106830597
gh</w>,-0.3472222089767456
cpc</w>,-0.3474568128585815
},-0.348904013633728
gala</w>,-0.3493967056274414
medic,-0.3503148853778839
gloss,-0.351929634809494
ophthal,-0.3525522649288177
specimens</w>,-0.3566450774669647
âĺĥ,-0.3590237498283386
boot,-0.3677897751331329
massage</w>,-0.3697011470794678
merchandi,-0.3697890639305115
lanaparrilla</w>,-0.3710814118385315
bullets</w>,-0.3712819218635559
goth</w>,-0.3722692131996155
vinson</w>,-0.3736595213413238
tension</w>,-0.374713659286499
niversary</w>,-0.3775743246078491
chalk,-0.3787758648395538
scavenger</w>,-0.3802513778209686
racists</w>,-0.3862887024879455
soaps</w>,-0.3863042294979095
boun,-0.3865530788898468
crative</w>,-0.3896631896495819
finger</w>,-0.3915212154388428
memo,-0.3934818804264068
spp</w>,-0.3983950614929199
pix,-0.3995513319969177
pap</w>,-0.4012464582920074
mag,-0.4015273153781891
posh</w>,-0.4015607237815857
gems</w>,-0.4024567008018493
ues</w>,-0.403616338968277
burnout</w>,-0.4039423763751983
throp</w>,-0.4060349464416504
venting</w>,-0.4065172374248504
consult,-0.4115172624588012
finest</w>,-0.4146626889705658
yev</w>,-0.4151757061481476
mothersday</w>,-0.4181748628616333
participates</w>,-0.4190117120742798
maximum</w>,-0.4201721549034118
ater,-0.4215494096279144
ðŁĺĥ,-0.4217583835124969
manger</w>,-0.42362180352211
segments</w>,-0.4248863160610199
glo,-0.4261133372783661
cosmetic</w>,-0.4265395998954773
hyun,-0.4284610748291015
preserving</w>,-0.4299176037311554
sitting</w>,-0.4303198754787445
chew</w>,-0.4361607134342193
ralph,-0.4364780783653259
youth</w>,-0.4365215301513672
:$</w>,-0.4376935958862304
opi,-0.4384540617465973
gossip</w>,-0.4409374296665191
ability,-0.4425942897796631
preview</w>,-0.4427626132965088
belt</w>,-0.445286750793457
âĢ¢âĢ¢,-0.4456235766410827
urstrulymahesh</w>,-0.4479901790618896
®</w>,-0.4491904377937317
lorraine</w>,-0.4501574635505676
nell,-0.4513313770294189
whipped</w>,-0.4556295275688171
aay,-0.4561003148555755
kardashi,-0.4571313560009002
diabetic</w>,-0.4580726027488708
heirs</w>,-0.4587916135787964
pierce</w>,-0.4595822095870971
making,-0.461388349533081
alecoscino</w>,-0.4651458859443664
deepikap,-0.4651806354522705
moons</w>,-0.4668583869934082
diverted</w>,-0.4706035852432251
od,-0.4713415801525116
medtech</w>,-0.4723069071769714
wrinkle</w>,-0.4731611609458923
verage</w>,-0.4735543727874756
anews</w>,-0.4736931324005127
sforsale</w>,-0.4740459322929382
asb</w>,-0.4764662384986877
victori,-0.4774456024169922
gel,-0.4775084257125854
nails</w>,-0.4776037335395813
abhcosmetics</w>,-0.4796377420425415
tre</w>,-0.4806422591209411
tabs</w>,-0.4806954860687256
chop</w>,-0.480804979801178
winner</w>,-0.4842497110366821
exquisite</w>,-0.4872259497642517
juli</w>,-0.4879188537597656
sticking</w>,-0.4879295229911804
phan</w>,-0.4965169429779053
mett</w>,-0.497208833694458
jadine</w>,-0.4975285530090332
pacquiao</w>,-0.5000795125961304
travel</w>,-0.5021507740020752
canning</w>,-0.5031614303588867
glazed</w>,-0.503231942653656
c,-0.5042903423309326
medications</w>,-0.5046371221542358
anova</w>,-0.506393551826477
cly,-0.5078262090682983
hurting</w>,-0.5083987712860107
spiel,-0.5095974802970886
drenched</w>,-0.512201726436615
lizzy</w>,-0.5125328302383423
ðŁĴ¸,-0.5136030316352844
stroke</w>,-0.5143115520477295
catch</w>,-0.5153071880340576
cigarettes</w>,-0.5158730745315552
wishlist</w>,-0.5164940357208252
thephoto,-0.5169538259506226
cca</w>,-0.5172293186187744
quest</w>,-0.5173811912536621
fuels</w>,-0.5174745917320251
hepburn</w>,-0.5183510184288025
goon</w>,-0.5197187662124634
hum,-0.5202649831771851
dile,-0.5210671424865723
gid</w>,-0.5245237350463867
pole,-0.5247167348861694
mera</w>,-0.5256109833717346
unplugged</w>,-0.5269010066986084
ethical,-0.527505099773407
touch,-0.5285689234733582
pork,-0.5287249684333801
why,-0.5288872122764587
laghate,-0.5291582345962524
colori,-0.5295588970184326
goals</w>,-0.5319734215736389
newly</w>,-0.5336067080497742
playing</w>,-0.5344047546386719
smashed</w>,-0.5374971628189087
sush,-0.5388144850730896
yeol</w>,-0.5397115349769592
idols</w>,-0.5433104038238525
doing</w>,-0.543366551399231
casualties</w>,-0.545347273349762
asbe,-0.5453951954841614
joyce</w>,-0.5457039475440979
arter,-0.5485718250274658
low</w>,-0.5486070513725281
pedals</w>,-0.5488587617874146
hundreds</w>,-0.5490106344223022
csg</w>,-0.5492745637893677
nigan</w>,-0.5497265458106995
unpopular</w>,-0.5506364107131958
transm,-0.5523523092269897
zoning</w>,-0.5532456636428833
thepersonal,-0.5535873174667358
desi,-0.5539398789405823
immunology</w>,-0.5586374998092651
yung,-0.5608707666397095
centenary</w>,-0.5623027086257935
delavin</w>,-0.5627359747886658
dictat,-0.5639650225639343
watt</w>,-0.5639718770980835
spar</w>,-0.5649442076683044
handle,-0.5659096240997314
difference</w>,-0.5676271915435791
unveil</w>,-0.567815899848938
joyful</w>,-0.5678486824035645
comedic</w>,-0.5687933564186096
rampant</w>,-0.5688290596008301
giveaways</w>,-0.5696929693222046
cosme,-0.5703141689300537
ballistic</w>,-0.5705326795578003
fanbase</w>,-0.575461745262146
charley</w>,-0.5760987401008606
cumb,-0.5817710757255554
avent,-0.5818309783935547
smoked</w>,-0.5822301506996155
selcaday</w>,-0.5834478735923767
chorus</w>,-0.5865934491157532
essentials</w>,-0.5882464647293091
avon,-0.5893979072570801
cinematography</w>,-0.5895359516143799
grabbing</w>,-0.5899798274040222
barri,-0.5915605425834656
rumours</w>,-0.5918575525283813
marlene</w>,-0.5919152498245239
unisex</w>,-0.5961101651191711
cum,-0.5963611602783203
teas</w>,-0.5965394377708435
looked</w>,-0.5972356796264648
vain</w>,-0.5973997712135315
osh</w>,-0.5991222262382507
