token,loss
melo,-4.315469413995743e-05
sixers</w>,-7.164735143305734e-05
pau</w>,-0.0001150435782619
creighton</w>,-0.000151764936163
soccer</w>,-0.000232783233514
weare,-0.0003678282955661
semifinal</w>,-0.0005093918298371
goti,-0.0005269842804409
westbrook</w>,-0.0005377188208512
russell,-0.0005495270015671
mavs</w>,-0.0005603810423053
pellets</w>,-0.0005859661032445
ut,-0.0006138777825981
rondo</w>,-0.0007021507481113
woj,-0.0007583393598906
espnu</w>,-0.0007795749115757
ttp</w>,-0.0008760354248806
ros,-0.0009482228779233
volley</w>,-0.001083722570911
jeric,-0.0012326085707172
klin</w>,-0.0012743840925395
ðŁĳįðŁĳį,-0.0016008905367925
cevic,-0.0016494280425831
vy</w>,-0.0017252537654712
kd,-0.001728119677864
malone</w>,-0.0017282391199842
ballin</w>,-0.0017845451366156
dray,-0.0018181032501161
goria</w>,-0.002015235600993
rubio</w>,-0.0020812337752431
espn,-0.0021673664450645
ucla</w>,-0.0021727427374571
msu</w>,-0.0023777717724442
nba,-0.0024039410054683
goody</w>,-0.0024140386376529
knicks</w>,-0.0025055180303752
yahoo,-0.0025898944586515
football</w>,-0.0026647157501429
barÃ§a</w>,-0.0029646549373865
thon,-0.0034963744692504
clippers</w>,-0.0035756302531808
basketball,-0.0036080521531403
lbj</w>,-0.0036703867372125
chriss,-0.0037220758385956
pau,-0.0038331805262714
taka,-0.003880689619109
bowler</w>,-0.0039005554281175
cleve,-0.0039301156066358
behavioural</w>,-0.0039937268011271
wasabi</w>,-0.0040162880904972
mikey,-0.0040931315161287
andy,-0.0041491515003144
sheed</w>,-0.0041601047851145
ewing</w>,-0.004241029266268
apology</w>,-0.0043238764628767
kg</w>,-0.0043653021566569
deandre</w>,-0.0045027625747025
lillard</w>,-0.0047040181234478
ashton,-0.0048127765767276
kawhi</w>,-0.005308567546308
cauley</w>,-0.0053741238079965
celtics</w>,-0.0054543078877031
basketball</w>,-0.0055499617010355
spurs</w>,-0.0055910190567374
pacers</w>,-0.0057507688179612
akron</w>,-0.0060168551281094
catch,-0.0060358042828738
steph,-0.0060540339909493
nuestro</w>,-0.006085337139666
kareem</w>,-0.0063684880733489
agp</w>,-0.0065259621478617
jan,-0.0069316700100898
à®¿</w>,-0.0073243929073214
fted</w>,-0.0076874177902936
lasalle</w>,-0.0078037697821855
gregation</w>,-0.0079048154875636
pawn</w>,-0.0079835802316665
dum</w>,-0.0080723855644464
alton,-0.0081593971699476
beasley</w>,-0.0082136625424027
liston</w>,-0.0084079122170805
áµ,-0.0087053105235099
play</w>,-0.0092178937047719
loyola</w>,-0.0093610761687159
nba</w>,-0.0093782842159271
ðŁ¥°</w>,-0.0094676949083805
howto</w>,-0.009704559110105
kd</w>,-0.0097754001617431
laker,-0.0097896652296185
cal,-0.009839504957199
kev,-0.0107522215694189
lou,-0.0107775870710611
dwyer</w>,-0.0107830092310905
à¸ģà¸,-0.0107856001704931
trans</w>,-0.0108236791566014
metaboli,-0.0113107645884156
ibu</w>,-0.0114764356985688
ading</w>,-0.0117606353014707
russ,-0.0117644341662526
giac,-0.0117669068276882
nbl</w>,-0.0118131060153245
ðŁĴĶ,-0.0118790902197361
kuz,-0.0122021399438381
Ĳ</w>,-0.0123643977567553
bother</w>,-0.0125237237662076
villanova</w>,-0.0125547470524907
referees</w>,-0.0126421488821506
rj</w>,-0.0126756513491272
tipoff</w>,-0.0131484810262918
aldridge</w>,-0.0135971242561936
ball</w>,-0.013737310655415
contested</w>,-0.0138245737180113
morris,-0.014130781404674
craze</w>,-0.0145226530730724
pebble</w>,-0.014809776097536
dhi,-0.0148152206093072
marchmadness</w>,-0.0153928054496645
terence</w>,-0.0154315447434782
peel</w>,-0.0169278550893068
menstrual</w>,-0.0176580734550952
terrell</w>,-0.0177681278437376
lakers</w>,-0.0178335960954427
midfield</w>,-0.0179755296558141
altrin,-0.0179772898554801
mathe,-0.0180201362818479
shot</w>,-0.0181642193347215
tur</w>,-0.0183549486100673
bulls</w>,-0.0183877926319837
manu</w>,-0.0187648180872201
schulz</w>,-0.018897833302617
knox,-0.0188979543745517
participant</w>,-0.0190719943493604
ssoccer</w>,-0.0196494907140731
madewith,-0.0196530167013406
wethenorth</w>,-0.0198386181145906
influ,-0.0198446977883577
ðŁĵĿ,-0.0199292730540037
penc,-0.0204057283699512
soybeans</w>,-0.0205469336360692
trying</w>,-0.0205497313290834
melo</w>,-0.0208960454910993
sav,-0.0210251435637474
âĺĺ,-0.0212701205164194
ronaldo</w>,-0.0219025593250989
elmo</w>,-0.0220409911125898
ellington</w>,-0.0227615386247634
bao</w>,-0.0229686982929706
cauli,-0.0230301786214113
ultimatefanlive</w>,-0.0235701147466897
unc</w>,-0.0238747429102659
cuse</w>,-0.0240276101976633
russ</w>,-0.0240835379809141
"....""</w>",-0.0243645645678043
nap</w>,-0.024380749091506
timberwolves</w>,-0.0245340596884489
juventus</w>,-0.0251366626471281
pollu,-0.0251909401267766
facep,-0.0258245207369327
snooker</w>,-0.0259673483669757
ðŁĶ¥ðŁĶ¥ðŁĶ¥ðŁĶ¥,-0.0259970184415578
ped</w>,-0.0260312762111425
mylittle,-0.0261788442730903
carroll,-0.0262831728905439
lma,-0.0263782683759927
wvu</w>,-0.0264528710395097
normal</w>,-0.0268480107188224
engineers</w>,-0.0275440942496061
"..""</w>",-0.0278156138956546
buns</w>,-0.0280602369457483
playtime</w>,-0.0283837113529443
slam,-0.0285186879336833
pms</w>,-0.0286714695394039
wilt,-0.0288306549191474
vball</w>,-0.0290077216923236
gw,-0.0290701258927583
remo,-0.0291057787835598
traw,-0.0292701888829469
ggly</w>,-0.0295851547271013
kg,-0.0300593543797731
ðŁĴĦ,-0.0301526598632335
vaj,-0.0302136614918708
spoils</w>,-0.0303353071212768
kos</w>,-0.0304244607686996
uconn</w>,-0.030623810365796
balls</w>,-0.0306348111480474
camilla</w>,-0.030769107863307
rela,-0.0309029929339885
kre,-0.0309685282409191
badoo</w>,-0.0313936248421669
nbafinals</w>,-0.0321594774723053
trades</w>,-0.0326691418886184
grapevine</w>,-0.0327008552849292
rudol,-0.0329405777156353
coal,-0.0331029705703258
cel,-0.0332754962146282
mamba</w>,-0.0332972481846809
jha,-0.0338902361690998
soft</w>,-0.0340799801051616
~></w>,-0.0341380760073661
fiba</w>,-0.0345254056155681
amuse,-0.0352792106568813
wilson</w>,-0.0354119092226028
tita</w>,-0.0355476513504982
bron,-0.0362661369144916
evapor,-0.0365591384470462
snowball</w>,-0.0366509519517421
ncaa</w>,-0.0371075458824634
pod</w>,-0.037347212433815
satellite</w>,-0.0374801866710186
wilt</w>,-0.0374942310154438
mvp</w>,-0.0381901524960994
halftime</w>,-0.03861640766263
bbn</w>,-0.0387771241366863
greatest,-0.0392367355525493
cavs</w>,-0.0393258817493915
sculpt</w>,-0.039345409721136
kickoff</w>,-0.0395265780389308
poppin</w>,-0.0397235341370105
tnt</w>,-0.0398818217217922
saha,-0.0400852411985397
jae</w>,-0.0406246595084667
baylor</w>,-0.0413900986313819
philipp,-0.0416995845735073
ritz</w>,-0.0420740619301795
euroleague</w>,-0.0420786626636981
chuckle</w>,-0.0421109907329082
hornets</w>,-0.0424861200153827
ðŁĻħ,-0.0428996570408344
bumblebee</w>,-0.0431158244609832
sperm</w>,-0.043138537555933
tonnes</w>,-0.0433302298188209
lev</w>,-0.0433620400726795
occer</w>,-0.0434240363538265
nebu,-0.0435250736773014
irl</w>,-0.0436190851032733
deaf,-0.0438818670809268
à¸ķ,-0.0439907349646091
includes</w>,-0.0444384776055812
maintains</w>,-0.0445391833782196
bryant</w>,-0.044550709426403
ode</w>,-0.0445690341293811
weiser</w>,-0.0448389835655689
wrecking</w>,-0.0453629456460475
avier</w>,-0.0457723066210746
mama</w>,-0.0459839776158332
agic</w>,-0.0462863370776176
fron,-0.046525090932846
febru,-0.0465433858335018
confined</w>,-0.0466218814253807
boon,-0.0468722730875015
romero</w>,-0.0470099560916423
more,-0.0472246371209621
various</w>,-0.0473378077149391
