token,loss
gymnastics</w>,-0.0055205933749675
geri</w>,-0.0354637205600738
caber,-0.0421921238303184
slic,-0.0472933128476142
zana</w>,-0.054139744490385
hurdles</w>,-0.0658259838819503
inist</w>,-0.0821546837687492
gl,-0.0853345766663551
fleeing</w>,-0.1048087552189827
dive,-0.1116652190685272
alexander,-0.1201385632157325
stronger</w>,-0.1308923810720443
fabi,-0.1653239727020263
betts</w>,-0.1861125975847244
jens</w>,-0.1890045404434204
ilities</w>,-0.1932292133569717
tds</w>,-0.2041791975498199
gymnast</w>,-0.2131163924932479
athletic</w>,-0.2413016706705093
bridget</w>,-0.2587910890579223
catastrophic</w>,-0.2639632821083069
pal,-0.2814010083675384
cros,-0.3064278066158294
splits</w>,-0.3087735474109649
ðŁĴµ</w>,-0.3093966245651245
arly</w>,-0.3113379776477813
stretched</w>,-0.3138587474822998
lean,-0.3176546096801758
atlas</w>,-0.3215475082397461
striker</w>,-0.3318684995174408
sommer</w>,-0.3322396874427795
macy</w>,-0.3420632183551788
tis</w>,-0.342964619398117
dsb</w>,-0.3432648181915283
paragra,-0.3658898472785949
zuckerberg</w>,-0.3685984015464782
conditioning</w>,-0.369754284620285
patti,-0.3763308525085449
stimulus</w>,-0.3975861072540283
fernandes</w>,-0.400194764137268
wwe,-0.4002901315689087
phenom,-0.4065588712692261
those</w>,-0.4213740527629852
holler</w>,-0.4321088790893554
inline</w>,-0.4687533974647522
hey</w>,-0.4719343185424804
muay,-0.4770096838474273
fest,-0.4835167229175567
:âĢ¦</w>,-0.4889982938766479
potassi,-0.4899695813655853
performance</w>,-0.4983502924442291
rr</w>,-0.5118097066879272
leaning</w>,-0.5130571126937866
shaq,-0.520015299320221
troy,-0.5206558704376221
delegation</w>,-0.5213350057601929
ï¿½,-0.5231325626373291
shoo,-0.5267214775085449
breakers</w>,-0.536522388458252
ebola</w>,-0.5408894419670105
strengthening</w>,-0.5431448221206665
wrestle,-0.5453946590423584
hurdle</w>,-0.5465385913848877
snu,-0.5472972393035889
hound</w>,-0.5517799258232117
marion</w>,-0.5520437955856323
streamed</w>,-0.5522493720054626
letics</w>,-0.5592819452285767
âľĮ,-0.567796528339386
ledge,-0.5700726509094238
whatever</w>,-0.572662353515625
coached</w>,-0.5733255743980408
ssional</w>,-0.5744822025299072
acro,-0.5829944014549255
four</w>,-0.5841826796531677
charlton</w>,-0.5843765735626221
tribune</w>,-0.5913640856742859
danielle,-0.5925872325897217
seated</w>,-0.5981902480125427
ulti,-0.5997054576873779
tk</w>,-0.601245641708374
sano</w>,-0.6014512181282043
briggs</w>,-0.6126985549926758
ucla,-0.6132494807243347
conline</w>,-0.6141523122787476
competitions</w>,-0.615776777267456
aths</w>,-0.617133617401123
cheer,-0.6175540685653687
pg,-0.6214654445648193
bernat,-0.6216123700141907
presen,-0.625514030456543
sel</w>,-0.6258889436721802
tum</w>,-0.6268423795700073
roy,-0.629566490650177
proportions</w>,-0.6308378577232361
lagi</w>,-0.634274959564209
alon</w>,-0.6415507197380066
myself</w>,-0.6433652639389038
jump,-0.6455606818199158
wrestling,-0.6464080810546875
disser,-0.6480154991149902
adren,-0.6535500288009644
afl</w>,-0.6561406254768372
kickboxing</w>,-0.6574233770370483
own,-0.6574259400367737
cpr</w>,-0.6628803610801697
dair</w>,-0.6685577630996704
humorous</w>,-0.6705158352851868
rhonda</w>,-0.6728423833847046
stances</w>,-0.6867009997367859
lori</w>,-0.6877503991127014
leicester</w>,-0.6909249424934387
cardio</w>,-0.6981107592582703
hailey</w>,-0.7035331726074219
guarding</w>,-0.7041910290718079
unveiled</w>,-0.7229934334754944
proudof,-0.7241373062133789
paddington</w>,-0.7265323400497437
sdlive</w>,-0.7278368473052979
flashbackfriday</w>,-0.7306562066078186
unbreakable</w>,-0.736132025718689
ê²,-0.7378199696540833
rasheed</w>,-0.7401630282402039
salvatore</w>,-0.741016685962677
josÃ©</w>,-0.7413257360458374
].</w>,-0.7444033622741699
extravag,-0.7484365105628967
enlightening</w>,-0.7554905414581299
oak</w>,-0.7610436677932739
janine</w>,-0.7617118954658508
wti</w>,-0.7639546394348145
motion</w>,-0.7644454836845398
surpassed</w>,-0.7657617330551147
clinch</w>,-0.7698675394058228
perfect</w>,-0.7699346542358398
extension</w>,-0.77108234167099
(ðŁĵ·:</w>,-0.7715610265731812
apro,-0.7750126123428345
splay</w>,-0.7806301712989807
hahn</w>,-0.7838295102119446
bouncing</w>,-0.7855129241943359
inge,-0.7883009910583496
dakota,-0.7922756671905518
gore,-0.7967302799224854
arrows</w>,-0.8001286387443542
onews</w>,-0.8027728796005249
letes</w>,-0.8116891384124756
boarder</w>,-0.8144456744194031
nering</w>,-0.8154484033584595
haye,-0.8170303702354431
richards</w>,-0.8227512240409851
sport</w>,-0.8271469473838806
inst,-0.828649640083313
catch,-0.8310299515724182
lovely,-0.8327431678771973
blacks</w>,-0.8358644843101501
missionary</w>,-0.8368759751319885
suk</w>,-0.8427916765213013
griezmann</w>,-0.8503847718238831
juke,-0.8526933789253235
flexibility</w>,-0.8537197113037109
exclusively</w>,-0.8557392358779907
tail</w>,-0.8564351797103882
fer</w>,-0.858924150466919
cheerleaders</w>,-0.8590883016586304
pso,-0.863120436668396
erun</w>,-0.8632674813270569
workout</w>,-0.8667726516723633
baseline</w>,-0.8681870698928833
slaves</w>,-0.8761516809463501
melissa</w>,-0.8815867304801941
pavel</w>,-0.8914923071861267
z</w>,-0.893385648727417
marcu,-0.8964976072311401
gonz,-0.8977928161621094
violated</w>,-0.9053313732147216
bgs</w>,-0.9074950218200684
wta</w>,-0.9101377129554749
