token,loss
pollen</w>,-0.006952857133001
mums</w>,-0.0085883727297186
aster,-0.0118981506675481
daisy,-0.013772782869637
daisy</w>,-0.025372926145792
flower,-0.0315849855542182
narcissi,-0.0377901941537857
cosmos</w>,-0.0386825129389762
aster</w>,-0.0438863486051559
omile</w>,-0.0480741336941719
petal,-0.0716335996985435
dew,-0.0724844858050346
balsam,-0.0944937393069267
wallpaper</w>,-0.0973393470048904
daisies</w>,-0.1057222783565521
lily,-0.1227428391575813
pion,-0.1250497251749038
bluet,-0.1329466253519058
petals</w>,-0.1541519910097122
bloom</w>,-0.1641679406166076
hibiscus</w>,-0.1709291785955429
flora</w>,-0.2152783423662185
asters</w>,-0.2724452316761017
sakura</w>,-0.3866284489631653
sunflower</w>,-0.3974727392196655
nug,-0.4126836061477661
abee</w>,-0.4136087000370025
id,-0.4180577099323272
rown,-0.418975293636322
spring,-0.4191839396953583
azalea</w>,-0.4676139950752258
veronic,-0.4809125661849975
bloom,-0.5273681282997131
hana</w>,-0.5434470176696777
anemone</w>,-0.6010271310806274
sunflowers</w>,-0.6580345630645752
blom,-0.7221922874450684
lily</w>,-0.741129994392395
palm</w>,-0.7886970639228821
wildflower,-0.7970205545425415
jasmin,-0.8096656799316406
pollinators</w>,-0.8196993470191956
carnation</w>,-0.8256896734237671
poppy,-0.8344863653182983
dahlia</w>,-0.859407901763916
irrigation</w>,-0.8817949295043945
elions</w>,-0.8947380781173706
plants</w>,-0.9608544111251832
sunshine,-1.0345547199249268
swarovski</w>,-1.0540385246276855
lilac</w>,-1.0686070919036863
yellow,-1.0952327251434326
blooming,-1.172459840774536
thistle</w>,-1.2798538208007812
rosemary</w>,-1.3174487352371216
kinetic</w>,-1.3345495462417605
chive</w>,-1.341043472290039
blooms</w>,-1.403955101966858
center,-1.4178366661071775
bandra</w>,-1.4610517024993896
narcis,-1.4682499170303345
gour,-1.524091720581055
sunny</w>,-1.5329443216323853
daun,-1.5391870737075806
wildflower</w>,-1.542893886566162
vam,-1.5955893993377686
arrangements</w>,-1.6322368383407593
contested</w>,-1.6842728853225708
drone</w>,-1.6947475671768188
blun,-1.700177550315857
âľįï¸ı</w>,-1.7093515396118164
magnolia</w>,-1.7606654167175293
photooftheday</w>,-1.763702392578125
dota</w>,-1.781810998916626
allergy</w>,-1.7984542846679688
siberian</w>,-1.8336235284805296
softhe,-1.8570376634597776
intermission</w>,-1.8586750030517576
kush</w>,-1.8812466859817505
mming</w>,-1.8868565559387207
zhen,-1.8981720209121704
jasmin</w>,-1.9135624170303345
anjo</w>,-1.9264225959777832
burst</w>,-1.9496386051177976
recei,-1.958005666732788
lilies</w>,-1.9587656259536743
flower</w>,-1.9600086212158203
dil</w>,-1.986868143081665
stles</w>,-1.9929165840148928
lyf</w>,-2.0017800331115723
sprung</w>,-2.0109429359436035
driving,-2.0171048641204834
bloss,-2.0250720977783203
hawaii,-2.051997661590576
quarry</w>,-2.061834812164306
nws</w>,-2.0631556510925293
neighboring</w>,-2.0686466693878174
rosetta</w>,-2.074036836624145
