token,loss
churches</w>,-0.0019715777598321
church,-0.0063554113730788
uoft</w>,-0.0128058670088648
bordeaux</w>,-0.0371358767151832
cathedral</w>,-0.0482946746051311
bhopal</w>,-0.055582795292139
minster</w>,-0.0592895001173019
priory</w>,-0.0593237802386283
masjid</w>,-0.0653560906648635
anglican</w>,-0.0676954537630081
york,-0.0765254124999046
synagogue</w>,-0.0777706205844879
thibau,-0.0894315168261528
poul,-0.0897471755743026
nationwide</w>,-0.0924435555934906
guildhall</w>,-0.0986510217189788
ationday</w>,-0.1030406430363655
winchester</w>,-0.1050141677260398
nave,-0.1082577481865882
chapel,-0.1095838248729705
visitscotland</w>,-0.1112038716673851
franch,-0.1136523857712745
crewe</w>,-0.1155681684613227
municipal,-0.116841547191143
avila</w>,-0.1258804500102996
puram</w>,-0.1260260045528412
gand,-0.1294106841087341
monastery</w>,-0.1315817981958389
gent</w>,-0.1320874094963073
oxfordshire</w>,-0.1327189803123474
baptist</w>,-0.1343881636857986
krakow</w>,-0.1387268602848053
gloucestershire</w>,-0.1398918032646179
hampton,-0.1422036588191986
salisbury</w>,-0.1425164192914962
interior,-0.1430245041847229
florence</w>,-0.1451209932565689
household</w>,-0.1471737623214721
presby,-0.1565336734056472
ager,-0.1648717671632766
cotswolds</w>,-0.1663957238197326
rome</w>,-0.1666874885559082
courthouse</w>,-0.1719954311847686
fayette,-0.1748085767030716
ðŁĮĻ,-0.1769799590110778
lancashire</w>,-0.1771246790885925
firenze</w>,-0.1861168444156646
constable</w>,-0.1864766031503677
laos</w>,-0.1917279511690139
villen,-0.1962504684925079
cambodia</w>,-0.1970037519931793
church</w>,-0.1970201581716537
shul,-0.1986072361469268
consoli,-0.2042052149772644
disneyland</w>,-0.2201945483684539
gothic</w>,-0.2226612269878387
barns</w>,-0.2247669994831085
iglesias</w>,-0.2308429479598999
kildare</w>,-0.2311822324991226
lourdes</w>,-0.2355066984891891
itic</w>,-0.237348198890686
steen,-0.2374815195798874
angeli,-0.238870769739151
portfoli,-0.2570155262947082
frey,-0.2605654001235962
bogota</w>,-0.2607659697532654
anglo,-0.262354701757431
âģł,-0.2637290954589844
bethlehem</w>,-0.2645303010940552
canterbury</w>,-0.2663412094116211
orleans</w>,-0.2671739757061004
england</w>,-0.2735828459262848
reale,-0.2764686942100525
chateau,-0.2791818082332611
nhm</w>,-0.2861166596412658
ucl</w>,-0.2861917912960052
cst</w>,-0.2904936373233795
slovenia</w>,-0.2943416833877563
hermitage</w>,-0.30835822224617
notredame</w>,-0.3096908330917358
depar,-0.3166783154010772
ely</w>,-0.3210540413856506
scher</w>,-0.3235444128513336
qe</w>,-0.3235509991645813
eton</w>,-0.3282003402709961
